Remove?,Updated topic,Updated label,topic,argument,label,tokenized_argument,new_id
,,,companies,"The mandate of private corporations is to make a profit. And if the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad. Oil companies foul the environment. Financial companies drive the economy into the Great Recession. Airlines have no regard for the people they transport. As long as they make a profit, they are allowed to abuse the public until they are stopped. That is the way it has been since Swift and Armour canned and sold rotten meat and Carnegie sent Pinkertons to shoot striking miners.",0,"The mandate of private corporations is to make a profit . And if the profit is made at the EXPENSE of the society that allow the corporation to exist , well , too bad . Oil companies foul the environment . Financial companies drive the economy into the Great Recession . Airlines have no regard for the people they transport . As long as they make a profit , they are allowed to abuse the public until they are stopped . That is the way it has been since Swift and Armour canned and sold rotten meat and Carnegie sent Pinkertons to shoot striking miners .",368
,,,democracies,"The only concrete definition of royalty I can think of is rule by decree as opposed to rule by consent. Furthermore, it doesn't make any difference if one attains royalty through heredity, voter fraud or simply by buying an election. The result is the same in each case, i.e., the right to rule was gained without the consent of the governed. It must be Bhutan was very lucky because I can't think of any other royal ruler who went down in history as having consistently issued decrees that were in the best interests of those he (or she, in some rare cases) governed. Personally, I would never willingly give up my democratic right to get rid of leaders whose decrees failed this test. We're all human after all and thus everyone is certain to make mistakes eventually. The idea that someone with ultimate power would have the right to make mistakes with no fear that the consequences could result in their removal is, well, beyond reason.",1,"The only concrete definition of royalty I can think of is rule by decree as opposed to rule by consent . Furthermore , it does n't make any difference if one attains royalty through heredity , voter fraud or simply by buying an election . The result is the same in each case , i.e. , the right to rule was gained without the consent of the governed . It must be Bhutan was very lucky because I ca n't think of any other royal ruler who went down in history as having consistently issued decrees that were in the best interests of those he ( or she , in some rare cases ) governed . Personally , I would never willingly give up my democratic right to get rid of leaders whose decrees failed this test . We 're all human after all and thus everyone is certain to make mistakes eventually . The idea that someone with ultimate power would have the right to make mistakes with no fear that the consequences could result in their removal is , well , beyond reason .",391
,,,companies,"Without government to ensure their behavior, companies will attempt to make a profit even to the DETRIMENT of the society that supports the business. We have seen this in the environment, in finances, in their treatment of workers and customers. Enough.",0,"Without government to ensure their behavior , companies will attempt to make a profit even to the DETRIMENT of the society that supports the business . We have seen this in the environment , in finances , in their treatment of workers and customers . Enough .",432
,,,mandatory for all children,"I couldn't agree more. The decision of well-meaning but ignorant people to deprive their children of vaccinations endangers not just the children, but the children of others, and vulnerable adults. Our right to choose ends when those choices result in harm to others.",1,"I could n't agree more . The decision of well - meaning but ignorant people to deprive their children of vaccinations endangers not just the children , but the children of others , and vulnerable adults . Our right to choose ends when those choices result in harm to others .",447
,,,a tax break,"I currently have no children in the public schools yet I am taxed for them. Should I as a taxpayer get a subsidy because I do not make use of the public schools? No. If as a society we feel that public education is important and you as a parent want to make the choice to either homeschool your children or send them to private school that is your right. However, you do not have the right to take public funds to do that. This is just a backdoor way to say that vochers are ok and to undermine funding for public schools. Public schools have to take everyone and often for special needs children at great cost. Any attempt to divert dollars away from that public good should not even be considered.",0,"I currently have no children in the public schools yet I am taxed for them . Should I as a taxpayer get a subsidy because I do not make use of the public schools ? No . If as a society we feel that public education is important and you as a parent want to make the choice to either homeschool your children or send them to private school that is your right . However , you do not have the right to take public funds to do that . This is just a backdoor way to say that vochers are ok and to undermine funding for public schools . Public schools have to take everyone and often for special needs children at great cost . Any attempt to divert dollars away from that public good should not even be considered .",449
,,,new employees,"It is absolutely venal and unsupportable for companies to think they have the right to suppress employees' future career options. Don't want sales employees to 'poach' clients? Keep the employees happy through good treatment and keep clients happy through relationships that go beyond the single sales person. I'd be willing to bet that every manager now trying to institute non-competes got to their current position by competing effectively up the ladder. Isn't honest competition the American way? Why should labor markets be allowed to dodge what all other markets are required to promote- competition? Just do your corporate job right, that's how you earn corporate success, not by limiting the career paths of employees after they leave you. The only legitimate use of these limitations would be in the area of trade secrets.",1,"It is absolutely venal and unsupportable for companies to think they have the right to suppress employees ' future career options . Do n't want sales employees to ' poach ' clients ? Keep the employees happy through good treatment and keep clients happy through relationships that go beyond the single sales person . I 'd be willing to bet that every manager now trying to institute non - competes got to their current position by competing effectively up the ladder . Is n't honest competition the American way ? Why should labor markets be allowed to dodge what all other markets are required to promote- competition ? Just do your corporate job right , that 's how you earn corporate success , not by limiting the career paths of employees after they leave you . The only legitimate use of these limitations would be in the area of trade secrets .",494
,,,pot,"Kids already can and do use marijuana. The law isn't going to make a major difference here. It is hard to argue that marijuana should be illegal when alcohol and tobacco, both more harmful substances, are legal and widely promoted. And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does. I'm concerned about the fact that many kids don't understand that marijuana is harmful. Not only does it lead to demotivation in some, it now appears that it can permanenty lower the IQ of a teenage user by some 9 points. But alcohol also damages the teenage brain. What we need here is education, not prohibition, and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well, but do not.",1,"Kids already can and do use marijuana . The law is n't going to make a major difference here . It is hard to argue that marijuana should be illegal when alcohol and tobacco , both more harmful substances , are legal and widely promoted . And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does . I 'm concerned about the fact that many kids do n't understand that marijuana is harmful . Not only does it lead to demotivation in some , it now appears that it can permanenty lower the IQ of a teenage user by some 9 points . But alcohol also damages the teenage brain . What we need here is education , not prohibition , and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well , but do not .",498
x,,,colorado,"Kids already can and do use marijuana. The law isn't going to make a major difference here. It is hard to argue that marijuana should be illegal when alcohol and tobacco, both more harmful substances, are legal and widely promoted. And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does. I'm concerned about the fact that many kids don't understand that marijuana is harmful. Not only does it lead to demotivation in some, it now appears that it can permanenty lower the IQ of a teenage user by some 9 points. But alcohol also damages the teenage brain. What we need here is education, not prohibition, and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well, but do not.",0,"Kids already can and do use marijuana . The law is n't going to make a major difference here . It is hard to argue that marijuana should be illegal when alcohol and tobacco , both more harmful substances , are legal and widely promoted . And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does . I 'm concerned about the fact that many kids do n't understand that marijuana is harmful . Not only does it lead to demotivation in some , it now appears that it can permanenty lower the IQ of a teenage user by some 9 points . But alcohol also damages the teenage brain . What we need here is education , not prohibition , and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well , but do not .",511
,,,monarchs,"The only concrete definition of royalty I can think of is rule by decree as opposed to rule by consent. Furthermore, it doesn't make any difference if one attains royalty through heredity, voter fraud or simply by buying an election. The result is the same in each case, i.e., the right to rule was gained without the consent of the governed. It must be Bhutan was very lucky because I can't think of any other royal ruler who went down in history as having consistently issued decrees that were in the best interests of those he (or she, in some rare cases) governed. Personally, I would never willingly give up my democratic right to get rid of leaders whose decrees failed this test. We're all human after all and thus everyone is certain to make mistakes eventually. The idea that someone with ultimate power would have the right to make mistakes with no fear that the consequences could result in their removal is, well, beyond reason.",0,"The only concrete definition of royalty I can think of is rule by decree as opposed to rule by consent . Furthermore , it does n't make any difference if one attains royalty through heredity , voter fraud or simply by buying an election . The result is the same in each case , i.e. , the right to rule was gained without the consent of the governed . It must be Bhutan was very lucky because I ca n't think of any other royal ruler who went down in history as having consistently issued decrees that were in the best interests of those he ( or she , in some rare cases ) governed . Personally , I would never willingly give up my democratic right to get rid of leaders whose decrees failed this test . We 're all human after all and thus everyone is certain to make mistakes eventually . The idea that someone with ultimate power would have the right to make mistakes with no fear that the consequences could result in their removal is , well , beyond reason .",572
,,,isis,It is so recent that we cant even call it history. Hasn't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia. The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east. The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people. Working with the Assad govt is a smart thing to do. Don't fix it if it ain't broke.,0,It is so recent that we ca nt even call it history . Has n't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries ? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia . The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east . The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people . Working with the Assad govt is a smart thing to do . Do n't fix it if it ai n't broke .,598
,,,home schoolers,That's right! homeschooling parents should get a break on taxes they pay that go towards education. Homeowners who don't have fires should get a break on taxes they pay towards fire departments. Healthy people should get a break on taxes that go towards health care. Creationists should get a break on taxes that go towards scientific research. Taxes should be like a sushi bar: you just select the ones you think you should be paying a la carte on a handy menu.,1,That 's right ! homeschooling parents should get a break on taxes they pay that go towards education . Homeowners who do n't have fires should get a break on taxes they pay towards fire departments . Healthy people should get a break on taxes that go towards health care . Creationists should get a break on taxes that go towards scientific research . Taxes should be like a sushi bar : you just select the ones you think you should be paying a la carte on a handy menu .,605
,,,arms,"No one here in the US that I know of perceives war as inevitable between the US and China. The reality is that as China grows economically it will be less likely to wage war on those who buy its products. As the economies of the world collapse and China sees its own economy falter, China will not do anything to worsen its own precarious situation. Taiwan is 1000 times more productive, has a far higher living standard and self-reliant than a China run by the Chinese Communist Party has ever been. The US and the entire world needs to recognize that Taiwan is the only real friend of democracy in that region. Taiwan must be armed and protected from Chinese aggression. The Chinese people believe the lies that they have been fed since birth on Taiwan being Chinese territory. We need not play this game and feed these lies. Chinese nationalism is not our concern. When China collapses it will be due to economic incompetence, greed, centralized party control and massive corruption on the local level. Taiwan will forever remain independent in fact if not eventually in name.",1,"No one here in the US that I know of perceives war as inevitable between the US and China . The reality is that as China grows economically it will be less likely to wage war on those who buy its products . As the economies of the world collapse and China sees its own economy falter , China will not do anything to worsen its own precarious situation . Taiwan is 1000 times more productive , has a far higher living standard and self - reliant than a China run by the Chinese Communist Party has ever been . The US and the entire world needs to recognize that Taiwan is the only real friend of democracy in that region . Taiwan must be armed and protected from Chinese aggression . The Chinese people believe the lies that they have been fed since birth on Taiwan being Chinese territory . We need not play this game and feed these lies . Chinese nationalism is not our concern . When China collapses it will be due to economic incompetence , greed , centralized party control and massive corruption on the local level . Taiwan will forever remain independent in fact if not eventually in name .",619
,,,marijuana,"If we're lucky cannabis use will decrease the use of alcohol. Cannabis isn't a gateway, it's a flagstone on a well worn path. Gateway? Sugar and caffeine are the first substances that one comes I contact with with mood altering properties, followed by alcohol. How many cannabis users have never tried alcohol or coffee or sugary caffeinated soda? The detractors of cannabis always seem to have a financial interest in vilifying it.",1,"If we 're lucky cannabis use will decrease the use of alcohol . Cannabis is n't a gateway , it 's a flagstone on a well worn path . Gateway ? Sugar and caffeine are the first substances that one comes I contact with with mood altering properties , followed by alcohol . How many cannabis users have never tried alcohol or coffee or sugary caffeinated soda ? The detractors of cannabis always seem to have a financial interest in vilifying it .",625
x,,,people,"On an IQ test, the average person would have exactly the same score as the average person in his grandparents' time. That is 100! The author is referring to the raw unadjusted score. All IQ tests are set so that the mean, median, and mode equal 100! Unless the author has access to old IQ test raw scores, the assumption of increasing average IQ scores would be difficult to demonstrate.",1,"On an IQ test , the average person would have exactly the same score as the average person in his grandparents ' time . That is 100 ! The author is referring to the raw unadjusted score . All IQ tests are set so that the mean , median , and mode equal 100 ! Unless the author has access to old IQ test raw scores , the assumption of increasing average IQ scores would be difficult to demonstrate .",627
,,,electric cars,"I can buy 2 (used) Honda Civics for the price of one electric car. The electric car can travel 100 miles on a charge. The Civic can travel 500 miles on one tank of gasoline, the gasline is readily available, and a fillup takes only about 3 minutes. Driving 5000 miles a year, the payback time for an electric car would exceed the life expectancy of the car itself.",0,"I can buy 2 ( used ) Honda Civics for the price of one electric car . The electric car can travel 100 miles on a charge . The Civic can travel 500 miles on one tank of gasoline , the gasline is readily available , and a fillup takes only about 3 minutes . Driving 5000 miles a year , the payback time for an electric car would exceed the life expectancy of the car itself .",635
,,,prostituion,"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia. All private business in Russia was illegal under communism, so when communism fell, the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally. They have not yet lost control; not enough time has passed. Similarly, because prostitution has been illegal in many places, even where it has become legal, there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal. As time passes, in large areas where it is fully legal, it will become less dominated by the criminal element and less violent (although it will never cease to be unpleasant in other ways).",1,"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia . All private business in Russia was illegal under communism , so when communism fell , the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally . They have not yet lost control ; not enough time has passed . Similarly , because prostitution has been illegal in many places , even where it has become legal , there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal . As time passes , in large areas where it is fully legal , it will become less dominated by the criminal element and less violent ( although it will never cease to be unpleasant in other ways ) .",661
,,,same-sex colleges,"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",1,"As a feminist , and a mom of a boy and a girl , I want equal opportunity for both of them . I would love to find a college beyond Wabash that 's all male . Because : on average boys are doing poorly in school compared with girls . It would be even better if that all - male school encouraged the arts -- everything from fine arts to domestic arts , animal husbandry , and gardening , in addition to a rigorous curriculum of reading , writing , arithmetic , and science .",741
,,,fees,"I'm beginning to see that up here in Soviet Kanukistan, we have it REALLY cushy when it comes to the banking industry. There is open, honest competition between banks for the customer's business, for one thing: not apparent collusion between major banks to charge similar fees and stifle true competition!! I pay $8.5 per month, get free debit services, free checking, 10 ATM transactions per month, and my overdraft fees are only $5 per shot (thank goodness, lol!!). Most ATMs charge $1.5 for transactions not associated with their sponsoring banks and even the private ones only ask this much. I remember visiting the USA in 1998 and simply refusing to pay $3 just to use an ATM!!!! The USA is the richest country on the planet, with the hugest bank profits... looks like exploiting the poor and vulnerable in their society is one of the ways they GOT so rich in the first place.",0,"I 'm beginning to see that up here in Soviet Kanukistan , we have it REALLY cushy when it comes to the banking industry . There is open , honest competition between banks for the customer 's business , for one thing : not apparent collusion between major banks to charge similar fees and stifle true competition ! ! I pay $ 8.5 per month , get free debit services , free checking , 10 ATM transactions per month , and my overdraft fees are only $ 5 per shot ( thank goodness , lol ! ! ) . Most ATMs charge $ 1.5 for transactions not associated with their sponsoring banks and even the private ones only ask this much . I remember visiting the USA in 1998 and simply refusing to pay $ 3 just to use an ATM ! ! ! ! The USA is the richest country on the planet , with the hugest bank profits ... looks like exploiting the poor and vulnerable in their society is one of the ways they GOT so rich in the first place .",777
,,1,candidate 's spouse,"It is possible that the spouse of a Presidential candidate, although educated and a professional, living a non-political independent life, would have nothing noteworthy to say about the campaign? A spouse could have strong opinions about numersous topics and insight into the character of one's spouse, but still not be in a position, or inclined, to opine on the relevant aspects of a Presidential campaign.",0,"It is possible that the spouse of a Presidential candidate , although educated and a professional , living a non - political independent life , would have nothing noteworthy to say about the campaign ? A spouse could have strong opinions about numersous topics and insight into the character of one 's spouse , but still not be in a position , or inclined , to opine on the relevant aspects of a Presidential campaign .",795
,,1,vaccination,"The choice of whether to breastfeed is of little consequence to others. Not to vaccinate one's children places others at risk, particularly other children and health-compromised adults. The analogy used by the author doesn't hold up. I'm also willing to bet that in Norway the overwhelming majority of young children are inoculated.",0,"The choice of whether to breastfeed is of little consequence to others . Not to vaccinate one 's children places others at risk , particularly other children and health - compromised adults . The analogy used by the author does n't hold up . I 'm also willing to bet that in Norway the overwhelming majority of young children are inoculated .",815
,,,mandatory for all children,"The choice of whether to breastfeed is of little consequence to others. Not to vaccinate one's children places others at risk, particularly other children and health-compromised adults. The analogy used by the author doesn't hold up. I'm also willing to bet that in Norway the overwhelming majority of young children are inoculated.",1,"The choice of whether to breastfeed is of little consequence to others . Not to vaccinate one 's children places others at risk , particularly other children and health - compromised adults . The analogy used by the author does n't hold up . I 'm also willing to bet that in Norway the overwhelming majority of young children are inoculated .",818
,,,a tax break,"Bruce S. Cooper's reasoning lacks supporting evidence: home-schooling parents do not save the taxpayers any money just as parents' whose ill children miss several days of public school do not save taxpayers money. Nor do parents who send their children to parochial schools save tax dollars. Public schools still have to be built, maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools. Public education must plan and staff to educate _every_ child in the district. I have yet to see any empirical evidence to support the idea that home-schooling or private or religious schools save the taxpayers' money. Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems. Can anyone cite any tax bill which was reduced when when parochial schools closed? Mary Askew",0,"Bruce S. Cooper 's reasoning lacks supporting evidence : home - schooling parents do not save the taxpayers any money just as parents ' whose ill children miss several days of public school do not save taxpayers money . Nor do parents who send their children to parochial schools save tax dollars . Public schools still have to be built , maintained and staffed regardless of whether some families keep its children at home or choose to send their children to private or parochial schools . Public education must plan and staff to educate _ every _ child in the district . I have yet to see any empirical evidence to support the idea that home - schooling or private or religious schools save the taxpayers ' money . Flinging around statistics about the average per pupil cost of public education is not the same thing as providing evidence that private or home education reduce the necessary expenditures of public school systems . Can anyone cite any tax bill which was reduced when when parochial schools closed ? Mary Askew",821
,,,women,"This is a wonderful article. I have had 3 births, the first 2 were in the hospital, and my 3rd was at home. I had awful experiences in the hospital with feeling like my freedom was taken away. I felt like I was shackled to the bed from the moment I walked in. My home birth was by far the best decision I have ever made. The experience is almost indescribable. Don't get me wrong, my first 2 births are special to me only because it was the moment my beautiful children came into this world. I just wish I knew then what I know now. With my home birth, I had an absolutely wonderful midwife who monitored me, but also aloud me to have control and let my body do what it was meant to do: give birth. Pregnancy is not a sickness, and I refuse to allow it to be treated as such.",1,"This is a wonderful article . I have had 3 births , the first 2 were in the hospital , and my 3rd was at home . I had awful experiences in the hospital with feeling like my freedom was taken away . I felt like I was shackled to the bed from the moment I walked in . My home birth was by far the best decision I have ever made . The experience is almost indescribable . Do n't get me wrong , my first 2 births are special to me only because it was the moment my beautiful children came into this world . I just wish I knew then what I know now . With my home birth , I had an absolutely wonderful midwife who monitored me , but also aloud me to have control and let my body do what it was meant to do : give birth . Pregnancy is not a sickness , and I refuse to allow it to be treated as such .",835
x,affirmative action,,affirmative actions,"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate, as is family or personal income, for use by a college or university in deciding whether to offer an applicant admission. Both are appropriate in deciding whether to assist a successful applicant financial assistance. The two decisions are not logically related, and attempting to combine them is certain to lead to poor results.",1,"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate , as is family or personal income , for use by a college or university in deciding whether to offer an applicant admission . Both are appropriate in deciding whether to assist a successful applicant financial assistance . The two decisions are not logically related , and attempting to combine them is certain to lead to poor results .",920
,,,vaccination,"I couldn't agree more. The decision of well-meaning but ignorant people to deprive their children of vaccinations endangers not just the children, but the children of others, and vulnerable adults. Our right to choose ends when those choices result in harm to others.",1,"I could n't agree more . The decision of well - meaning but ignorant people to deprive their children of vaccinations endangers not just the children , but the children of others , and vulnerable adults . Our right to choose ends when those choices result in harm to others .",956
,,,control,"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",1,"It should be clear by now that , given enough slack in their leash , the banks will take the path of highest leverage without concern for risk . Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough . Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else 's money and lost . We desperately need the Glass Steagall wall between deposits and investments . It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy . Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity ? The rapid rise in personal debt in the form of credit card debt , mortgages and student loans is feeding these to - big - to fail financial behemoths that throw their weight around Washington .",974
x,,,income,"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate, as is family or personal income, for use by a college or university in deciding whether to offer an applicant admission. Both are appropriate in deciding whether to assist a successful applicant financial assistance. The two decisions are not logically related, and attempting to combine them is certain to lead to poor results.",0,"Family wealth or lack of it is not a valid indicator of capability for college level academic study and is inappropriate , as is family or personal income , for use by a college or university in deciding whether to offer an applicant admission . Both are appropriate in deciding whether to assist a successful applicant financial assistance . The two decisions are not logically related , and attempting to combine them is certain to lead to poor results .",978
,,,the atlantic coast,"""Atlantic offshore exploration and development could add $23.5 billion to the U.S. economy, create 280,000 jobs, generate $51 billion in state and federal revenue and produce an additional 1.3 million barrels of oil equivalent per day."" And how many tons per day of carbon dioxide into the atmosphere? Just a thought. Just another thought: How about we leave something in the ground as a legacy for our great great grandchildren and in the meantime, tighten our belts and initiate other ways of doing what we need to do? Larry Lundgren has an excellent suggestion below, and there are many more. Let's think about emerging out of the Age of Petroleum into what must come next if we are to survive on this planet.",1,""" Atlantic offshore exploration and development could add $ 23.5 billion to the U.S. economy , create 280,000 jobs , generate $ 51 billion in state and federal revenue and produce an additional 1.3 million barrels of oil equivalent per day . "" And how many tons per day of carbon dioxide into the atmosphere ? Just a thought . Just another thought : How about we leave something in the ground as a legacy for our great great grandchildren and in the meantime , tighten our belts and initiate other ways of doing what we need to do ? Larry Lundgren has an excellent suggestion below , and there are many more . Let 's think about emerging out of the Age of Petroleum into what must come next if we are to survive on this planet .",1041
