topic,argument,tokenized_argument,label
women,I had a beautiful home birth with a licensed midwife in 2011. I was so inspired by the experience that I became a certified birth doula and have attended 17 births (many at home or at a birth center). All women should have the opportunity to choose where they feel safest birthing. SO grateful for midwifery!,I had a beautiful home birth with a licensed midwife in 2011 . I was so inspired by the experience that I became a certified birth doula and have attended 17 births ( many at home or at a birth center ) . All women should have the opportunity to choose where they feel safest birthing . SO grateful for midwifery !,1
the u.s. embassy,"If the USA Embassy is truly 100% constantly strong and unified in supporting Israel's right to exist, Israel's right to be a Jewish nation and Jerusalem as Israel's eternal capital then yes and amen, stand bold and strong with the uncompromised rights of Israel. USA Embassy's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel's capitol. I will require the tangible consistent defense, offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root. It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice. I don't claim to be an expert, these are my prayerful thoughts on this topic. I believe that Reverend Robert Stearns speaks with wisdom, knowledge and insight. Above all may G-d's righteous holy will be done. -Reverend Tracie Plungis, NJ, USA","If the USA Embassy is truly 100 % constantly strong and unified in supporting Israel 's right to exist , Israel 's right to be a Jewish nation and Jerusalem as Israel 's eternal capital then yes and amen , stand bold and strong with the uncompromised rights of Israel . USA Embassy 's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel 's capitol . I will require the tangible consistent defense , offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root . It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice . I do n't claim to be an expert , these are my prayerful thoughts on this topic . I believe that Reverend Robert Stearns speaks with wisdom , knowledge and insight . Above all may G - d 's righteous holy will be done . -Reverend Tracie Plungis , NJ , USA",1
in-state students,"California's in-state/out-of-state tuition policies are a boon for Utah. Some of the smartest students I've met at Utah State University found that out-of-state tuition at USU is tens of thousands of dollars less than in-state tuition in California. So they came here instead. Perhaps public universities in Utah and California are playing the same game, trying to attract out-of-state residents who will pay more tuition at the expense of admitting qualified in-state applicants. When two states play this game, the state with a lower cost of living wins. As California seeks to attract overseas and out-of-state talent, it should seriously consider where outside its borders it is driving its own in-state talent to go.","California 's in - state / out - of - state tuition policies are a boon for Utah . Some of the smartest students I 've met at Utah State University found that out - of - state tuition at USU is tens of thousands of dollars less than in - state tuition in California . So they came here instead . Perhaps public universities in Utah and California are playing the same game , trying to attract out - of - state residents who will pay more tuition at the expense of admitting qualified in - state applicants . When two states play this game , the state with a lower cost of living wins . As California seeks to attract overseas and out - of - state talent , it should seriously consider where outside its borders it is driving its own in - state talent to go .",1
people,"I think our abilities in the fields of rational thought and logic are being usurped by technology. As another debater said; we find it difficult to read a map or measure a room for carpeting. However these everyday functions are made easier with the development of GPS and laser measuring readers. And the examples in this category are many. Perhaps we are being made less discerning through the ubiquitous barrage of marketing - a child of 3 would have been exposed to millions of TV ads - however that child will probably be more competent in the USE not necessarily the DEVELOPMENT of technology, than an adult of today. Industrial research and development has driven a new world of technology which enables many more people to use innovative electronic appliances designed by the few. 50 years ago if your car stalled you would more than likely know why and if you towed it home, perhaps fix it. With today's computerized control systems, that's impossible. So are we getting dumber? Some are and some aren't. I only hope I'm part of the latter. What I do know is that I cannot function without the occasional assistance from my Apple Dictionary.","I think our abilities in the fields of rational thought and logic are being usurped by technology . As another debater said ; we find it difficult to read a map or measure a room for carpeting . However these everyday functions are made easier with the development of GPS and laser measuring readers . And the examples in this category are many . Perhaps we are being made less discerning through the ubiquitous barrage of marketing - a child of 3 would have been exposed to millions of TV ads - however that child will probably be more competent in the USE not necessarily the DEVELOPMENT of technology , than an adult of today . Industrial research and development has driven a new world of technology which enables many more people to use innovative electronic appliances designed by the few . 50 years ago if your car stalled you would more than likely know why and if you towed it home , perhaps fix it . With today 's computerized control systems , that 's impossible . So are we getting dumber ? Some are and some are n't . I only hope I 'm part of the latter . What I do know is that I can not function without the occasional assistance from my Apple Dictionary .",1
capital gains,"This article touches a nerve. For 40 years I've operated a tour company in Canada and ,on account of taxation, was in no hurray to grow the company.One accepts tax on income but when taxed 40% on the additional income that the original income may make, the incentive to expand dissipates.So if this represents the mind frame of a small number entrepreneurs, a lot of jobs, capital and opportunity is not being created.","This article touches a nerve . For 40 years I 've operated a tour company in Canada and , on account of taxation , was in no hurray to grow the company . One accepts tax on income but when taxed 40 % on the additional income that the original income may make , the incentive to expand dissipates . So if this represents the mind frame of a small number entrepreneurs , a lot of jobs , capital and opportunity is not being created .",1
your cat,"A cat living in the wild needs its claws for climbing trees and for self defense. A pet cat kept indoors does not need its claws. If I have to keep a pet cat I would insist on declawing it. Otherwise I would forgo the pleasure of having a cat as a pet, no matter how cuddly.","A cat living in the wild needs its claws for climbing trees and for self defense . A pet cat kept indoors does not need its claws . If I have to keep a pet cat I would insist on declawing it . Otherwise I would forgo the pleasure of having a cat as a pet , no matter how cuddly .",0
the atlantic coast,"The assumption is that this is a political decision which seems very bizarre to me. An Atlantic spill would affect a heck off a lot more people than would a spill in the Arctic so how does this make sense politically? Last I checked wildlife doesn't vote. I have yet to see a good explanation for this decision, either from a political or an environmental position. If there is one I would like to hear it. Would a spill in the Atlantic 50 miles out disperse away from the coast more than would a spill in the Arctic or the Gulf? Because there surely will be one no matter how much the ""our drilling rigs, pipelines and trains are safe"" oil executives say.","The assumption is that this is a political decision which seems very bizarre to me . An Atlantic spill would affect a heck off a lot more people than would a spill in the Arctic so how does this make sense politically ? Last I checked wildlife does n't vote . I have yet to see a good explanation for this decision , either from a political or an environmental position . If there is one I would like to hear it . Would a spill in the Atlantic 50 miles out disperse away from the coast more than would a spill in the Arctic or the Gulf ? Because there surely will be one no matter how much the "" our drilling rigs , pipelines and trains are safe "" oil executives say .",1
the status of teachers,"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?","I wonder how having one or two Teach for America teachers at a school can make a difference . A few children , lucky to be in those classes , may benefit but how does it benefit the school as a whole ? And what does it do for the morale of the regular teaching staff , many of whom may be wonderful , dedicated teachers to have these neophytes who come with a label of special , gifted drop into their schools as though manna from heaven ? Finally , do these special , gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least , if not more , to do with the condition of their schools and their academic achievement than does the ability of the teacher ? Can they magically help the parent who does n't have the education to help or encourage the child ? Can they promise these kids that if they work hard and do well , they will have a better life ?",0
an election,Only problem with students is that they do not vote. Look s recently as states which have just had primary elections during spring break. The sands of Florida and the beer was much more important than to stay in their districts to vote. Don't count on them to bone of any help except the occasional rally as a relief agent to distract from classes.,Only problem with students is that they do not vote . Look s recently as states which have just had primary elections during spring break . The sands of Florida and the beer was much more important than to stay in their districts to vote . Do n't count on them to bone of any help except the occasional rally as a relief agent to distract from classes .,1
mandatory in college,OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so-called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own. The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth. It enables one to assimilate a culture in a way unequaled to any other.,OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so - called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own . The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth . It enables one to assimilate a culture in a way unequaled to any other .,1
beachfront homes,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.","If some rich curmudgeon buys all the land around a public school can he then deny access to the kids ? Access should be guaranteed : if the landowner wo n't sell a piece of his property leading to the public area , it should be confiscated ; case closed .",0
their land,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.","If some rich curmudgeon buys all the land around a public school can he then deny access to the kids ? Access should be guaranteed : if the landowner wo n't sell a piece of his property leading to the public area , it should be confiscated ; case closed .",1
farms,"Or farming of this type would just move to mechanization to keep costs down. In the late 70s/early 80s, the United Farm Workers did a lot to prevent academic research into mechanization of California farming, and wanted the state to impose taxes on mechanized fruit and vegetable harvesters. I think their efforts even included a terrorist attack on the Ag-engineering department at UC-Davis (although maybe that's just something I just heard?). But it's 2011, and I doubt they are strong enough to stop mechanization these days.","Or farming of this type would just move to mechanization to keep costs down . In the late 70s / early 80s , the United Farm Workers did a lot to prevent academic research into mechanization of California farming , and wanted the state to impose taxes on mechanized fruit and vegetable harvesters . I think their efforts even included a terrorist attack on the Ag - engineering department at UC - Davis ( although maybe that 's just something I just heard ? ) . But it 's 2011 , and I doubt they are strong enough to stop mechanization these days .",0
kids at home,"How about obstetricians step up and admit that since men started controlling the birth process in hospital, women have suffered. Unneeded interventions and drugs, artificially induced labours, humiliating practices like shaving pubic hair, twilight sleep, episiotomies, Caesareans scheduled for the convenience of the doctor and his golf game, women with previous Caesareans not allowed to attempt a VBAC, babies and mothers separated at birth. If you're wondering why some women would want a home birth, take a look at yourselves and your practices.","How about obstetricians step up and admit that since men started controlling the birth process in hospital , women have suffered . Unneeded interventions and drugs , artificially induced labours , humiliating practices like shaving pubic hair , twilight sleep , episiotomies , Caesareans scheduled for the convenience of the doctor and his golf game , women with previous Caesareans not allowed to attempt a VBAC , babies and mothers separated at birth . If you 're wondering why some women would want a home birth , take a look at yourselves and your practices .",1
