topic,argument,label,tokenized_argument,new_id
nonprofit status,"Zimbalist tortuously describes distinctions without differences to arrive at his unwarranted conclusion. If we are taxing corporations, none should be tax-exempt. Period! The tax code is to raise revenue, not to institute social policies. Those, if deemed desirable, should be done through appropriations, where our representatives will have to justify their choices with each budget. Unfortunately, the tax code is much like military bases, pork spread so widely that no one wants to rock the boat, even if the totality is detrimental to the welfare of our country.",0,"Zimbalist tortuously describes distinctions without differences to arrive at his unwarranted conclusion . If we are taxing corporations , none should be tax - exempt . Period ! The tax code is to raise revenue , not to institute social policies . Those , if deemed desirable , should be done through appropriations , where our representatives will have to justify their choices with each budget . Unfortunately , the tax code is much like military bases , pork spread so widely that no one wants to rock the boat , even if the totality is detrimental to the welfare of our country .",8978
farms,"Ms. Bedolla's job is to lobby for illegal workers, and this fact makes all of her arguments subject to question. This is standard advocacy talk- the illegal's do the work American's won't do/can't do, and her Georgia example where former convicts, hardly a representative population, were cited as evidence is typical of the distortions practiced by these advoctes. If the farmers want legal workers, then they should pay them a living wage, and Americans should pay the higher resulting prices for the food that they consume .The implication that American's are not hard workers is not borne out by our history.",0,"Ms. Bedolla 's job is to lobby for illegal workers , and this fact makes all of her arguments subject to question . This is standard advocacy talk- the illegal 's do the work American 's wo n't do / can't do , and her Georgia example where former convicts , hardly a representative population , were cited as evidence is typical of the distortions practiced by these advoctes . If the farmers want legal workers , then they should pay them a living wage , and Americans should pay the higher resulting prices for the food that they consume .The implication that American 's are not hard workers is not borne out by our history .",8959
research papers,"I personally think that using arguments and evidence is central in any debate. However the nature of research changed with the advent of databases and google. Moreover the Internet has dramatically changed the way people discuss or just get information about public issues. Perhaps, it would be more helpful to teach students how to deal with digital tools more consciously. For example, when I was a TA, my supervisor gave to his undergraduate students a very original assignment: writing a wikipedia entry. Writing a Wikipedia article seems a simple task, it is a very challenging work because first of all it is an hypertext and references, quotations, link are central to prove both the entry is verifiable and well structured. Second, editors review all articles that are submitted and there is a group approval system to determine if content is published, or rejected in the case of plagiarism or poor quality.",1,"I personally think that using arguments and evidence is central in any debate . However the nature of research changed with the advent of databases and google . Moreover the Internet has dramatically changed the way people discuss or just get information about public issues . Perhaps , it would be more helpful to teach students how to deal with digital tools more consciously . For example , when I was a TA , my supervisor gave to his undergraduate students a very original assignment : writing a wikipedia entry . Writing a Wikipedia article seems a simple task , it is a very challenging work because first of all it is an hypertext and references , quotations , link are central to prove both the entry is verifiable and well structured . Second , editors review all articles that are submitted and there is a group approval system to determine if content is published , or rejected in the case of plagiarism or poor quality .",8941
the status of teachers,"There is currently a glut of qualified teachers. Why are we taxpayers paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects?? Why should I (and laid off teachers) have to compete with govt-sponsored, less-qualified drones who are hand-picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education?",0,"There is currently a glut of qualified teachers . Why are we taxpayers paying millions of dollars for TFA and , here in NYC , NYC Teaching Fellows , et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects ? ? Why should I ( and laid off teachers ) have to compete with govt - sponsored , less - qualified drones who are hand - picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education ?",8857
privatization,"We must all understand that when we privatize any industry that was once run by government it will, in the long-term, cost us more money, while taxpayers will have less oversight of those industries. Why? Because profit is added to the economic paradigm, (in lieu of non-profit management). Once a profit margin is figured into the economic model that was formerly a not-for-profit entity it will eventually cost us more. Plus, corporations have rights to privacy, so the public has little access to how their prisons, water treatment facilities, and the like are actually being run and managed.",0,"We must all understand that when we privatize any industry that was once run by government it will , in the long - term , cost us more money , while taxpayers will have less oversight of those industries . Why ? Because profit is added to the economic paradigm , ( in lieu of non - profit management ) . Once a profit margin is figured into the economic model that was formerly a not - for - profit entity it will eventually cost us more . Plus , corporations have rights to privacy , so the public has little access to how their prisons , water treatment facilities , and the like are actually being run and managed .",8853
mandatory for all children,"Vaccines are like motorcycle helmets, they protect. Some bikers say their freedom is being curtailed by having to wear a helmet. Well when a biker gets in a crash without a helmet and has serious brain damage - society will pay dearly for letting him have his freedom. Brain damaged individuals can cost society hundreds of thousands of dollar at a minimum. A drive by shooting victim can cost us over $1 million per day. The same is true for an outbreak of measels. The attempts to eliminate polio by the world continues because the costs are obvious. When in the Navy one of the officers on my ship belonged to a religious group that would not take injections. The Navy being very pragmatic discharged him with an administrative discharge - no harm done to anyone. Anyway we are part of an integrated society and public health is important to all. Public health nursing is woefully underfunded with the simple act of providing pre-natal care, a huge amount of resources and anguish can be avoided.",1,"Vaccines are like motorcycle helmets , they protect . Some bikers say their freedom is being curtailed by having to wear a helmet . Well when a biker gets in a crash without a helmet and has serious brain damage - society will pay dearly for letting him have his freedom . Brain damaged individuals can cost society hundreds of thousands of dollar at a minimum . A drive by shooting victim can cost us over $ 1 million per day . The same is true for an outbreak of measels . The attempts to eliminate polio by the world continues because the costs are obvious . When in the Navy one of the officers on my ship belonged to a religious group that would not take injections . The Navy being very pragmatic discharged him with an administrative discharge - no harm done to anyone . Anyway we are part of an integrated society and public health is important to all . Public health nursing is woefully underfunded with the simple act of providing pre - natal care , a huge amount of resources and anguish can be avoided .",8849
mother teresa,"Had her hospital existed anywhere other than India it would have been forcibly closed down by the authorities as unsanitary, medically unsound and a scam. It is a scandal that a multi million dollar charity keep the poor and dying in such shameless and appalling conditions. Their deaths were mere spiritual entertainment to a grandiose Munchhouens complex",0,"Had her hospital existed anywhere other than India it would have been forcibly closed down by the authorities as unsanitary , medically unsound and a scam . It is a scandal that a multi million dollar charity keep the poor and dying in such shameless and appalling conditions . Their deaths were mere spiritual entertainment to a grandiose Munchhouens complex",8844
fees,"The banks have been making enormous profits and paying out (again) obscene bonuses, seemingly forgetting that their purpose (as per Founding Fathers) is to serve the public not themselves. I could accept being nickel and dimed if the executive salaries were brought down to acceptable levels (i.e., maximum $500 000 for the CEO).",0,"The banks have been making enormous profits and paying out ( again ) obscene bonuses , seemingly forgetting that their purpose ( as per Founding Fathers ) is to serve the public not themselves . I could accept being nickel and dimed if the executive salaries were brought down to acceptable levels ( i.e. , maximum $ 500 000 for the CEO ) .",8803
vaccination,"Freedom has been known to come with a price. I suggest that all children who are non vaccinated wear masks in all public places, including school. Perhaps those wise, well edcated and freedom loving parents will reconsider their choice not to vaccinate.",1,"Freedom has been known to come with a price . I suggest that all children who are non vaccinated wear masks in all public places , including school . Perhaps those wise , well edcated and freedom loving parents will reconsider their choice not to vaccinate .",8771
free speech,"#10 has stated the facts. Any firm --even a quasi-government firm--- can release anyone for any reason at anytime except the reasons he has mentioned, Wake up, employees, the government protects your freedom of speech. You can't be arrested for burning the Koran, Bible, Torah, flag, effigies of anyone --as long as it's not considered to be a build up to a physical threat. HOWEVER, your employer may choose to fire you for any of these reasons although these activities are done outside of the work day. There is no recourse. Salam Al-Marayati would be well in his rights. Shariah law has nothing to do with this.",1,"# 10 has stated the facts . Any firm --even a quasi - government firm--- can release anyone for any reason at anytime except the reasons he has mentioned , Wake up , employees , the government protects your freedom of speech . You ca n't be arrested for burning the Koran , Bible , Torah , flag , effigies of anyone --as long as it 's not considered to be a build up to a physical threat . HOWEVER , your employer may choose to fire you for any of these reasons although these activities are done outside of the work day . There is no recourse . Salam Al - Marayati would be well in his rights . Shariah law has nothing to do with this .",8710
a tax break,"Our school district is terrrible, and the results even worse. Last year a child was T-Bagged and beaten because he was white by a group of black football players. No one was punished...b/c they were afraid of the moron parents. We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from. Is that fair?",0,"Our school district is terrrible , and the results even worse . Last year a child was T - Bagged and beaten because he was white by a group of black football players . No one was punished ... b / c they were afraid of the moron parents . We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from . Is that fair ?",8691
casinos,"it hilarious that the states scream for Casino's yet fear legalizing marijuana. Gambling destroys more families than marijuana ever did. Casino's prey far more on those who can least afford to gamble than it does in attracting the extremely wealthy to gamble away what they have in the same percentage terms. Know why ? Rich are rich for a reason, they did not gamble away their chance at success, wasting their money on a dream of striking it rich. Casino's pay terribly low wages for service persons. Casino's in the end cost society more than they can ever generate to the states or federal gov't. Casino's should as they always were be a destination resort to insure those that do gamble can at least afford it. I never saw a poor person at Atlantis in the Bahamas, or Aruba, I cannot say the same for Foxwoods, Atlantic City, or even Las Vegas. At one time Las Vegas was a destination resort, now it too exploits the poor more than taking from tourists I don't gamble, but I do enjoy watching people play, I don't enjoy watching them lose.",0,"it hilarious that the states scream for Casino 's yet fear legalizing marijuana . Gambling destroys more families than marijuana ever did . Casino 's prey far more on those who can least afford to gamble than it does in attracting the extremely wealthy to gamble away what they have in the same percentage terms . Know why ? Rich are rich for a reason , they did not gamble away their chance at success , wasting their money on a dream of striking it rich . Casino 's pay terribly low wages for service persons . Casino 's in the end cost society more than they can ever generate to the states or federal gov't . Casino 's should as they always were be a destination resort to insure those that do gamble can at least afford it . I never saw a poor person at Atlantis in the Bahamas , or Aruba , I can not say the same for Foxwoods , Atlantic City , or even Las Vegas . At one time Las Vegas was a destination resort , now it too exploits the poor more than taking from tourists I do n't gamble , but I do enjoy watching people play , I do n't enjoy watching them lose .",8682
government,"I would agree that fares dropped between the big hubs, but for us who live in the hinterlands and have to drive 2 hours to an airport which is served by a grand total of 2 airlines, not so much. Airfares on the two airlines are always within 10 dollars of each other. The airfare for a 45 minute flight to the hub is about the same as any flight from that hub to any other destination so the end result is flying costs twice as much than if you flew from a hub. The end result is the hub and spoke system results in lower fares where there is competition and a virtual oligopoly at the end of each spoke. Granted, it is not a monopoly which would cause scrutiny, but the airlines collusion acts like one. Add to that, most of the flying public knows what happens with a weather related problem at a hub. The ripple effects throughout the system impact much more than just one hub. Sorry, deregulation resulted in much higher fares and much worse service when weather intervenes.",0,"I would agree that fares dropped between the big hubs , but for us who live in the hinterlands and have to drive 2 hours to an airport which is served by a grand total of 2 airlines , not so much . Airfares on the two airlines are always within 10 dollars of each other . The airfare for a 45 minute flight to the hub is about the same as any flight from that hub to any other destination so the end result is flying costs twice as much than if you flew from a hub . The end result is the hub and spoke system results in lower fares where there is competition and a virtual oligopoly at the end of each spoke . Granted , it is not a monopoly which would cause scrutiny , but the airlines collusion acts like one . Add to that , most of the flying public knows what happens with a weather related problem at a hub . The ripple effects throughout the system impact much more than just one hub . Sorry , deregulation resulted in much higher fares and much worse service when weather intervenes .",8590
illegal labor,"Ms. Bedolla's job is to lobby for illegal workers, and this fact makes all of her arguments subject to question. This is standard advocacy talk- the illegal's do the work American's won't do/can't do, and her Georgia example where former convicts, hardly a representative population, were cited as evidence is typical of the distortions practiced by these advoctes. If the farmers want legal workers, then they should pay them a living wage, and Americans should pay the higher resulting prices for the food that they consume .The implication that American's are not hard workers is not borne out by our history.",0,"Ms. Bedolla 's job is to lobby for illegal workers , and this fact makes all of her arguments subject to question . This is standard advocacy talk- the illegal 's do the work American 's wo n't do / can't do , and her Georgia example where former convicts , hardly a representative population , were cited as evidence is typical of the distortions practiced by these advoctes . If the farmers want legal workers , then they should pay them a living wage , and Americans should pay the higher resulting prices for the food that they consume .The implication that American 's are not hard workers is not borne out by our history .",8560
the u.s.,"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.",1,"Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs can not be initiated right now even with the embargo in place . But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent . Recognize mutual interests . For example , both countries have an interest in studying hurricanes , coral reefs and generally looking at climate change ; a particular threat to south Florida and Cuba . These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country .",8547
starchitects,"Having left NYC many years ago, I eventually came to live in a city of 40,000 that through the generosity of a patron secured the talents of the mid 20th century 'starchitects' and prominent firms. Today this small city and its architectural treasures is an international destination for those interested in architecture. Other than the large cities, where else can you find a collection of work by Saarinen, Venturi, Pei, Meier, Polshek, Stern, S.O.M., Pelli, Weese, Gwathmy, Barnes, The Architects Collaborative and sculptors like Henry Moore, Jon Tinguely, Chihuli. Obviously, none were local.",1,"Having left NYC many years ago , I eventually came to live in a city of 40,000 that through the generosity of a patron secured the talents of the mid 20th century ' starchitects ' and prominent firms . Today this small city and its architectural treasures is an international destination for those interested in architecture . Other than the large cities , where else can you find a collection of work by Saarinen , Venturi , Pei , Meier , Polshek , Stern , S.O.M. , Pelli , Weese , Gwathmy , Barnes , The Architects Collaborative and sculptors like Henry Moore , Jon Tinguely , Chihuli . Obviously , none were local .",8526
affirmative action,"The author is correct to observe that ""...racial disparities remain alarmingly wide."" But there is no evidence to suggest that affirmative action can change that. Affirmative action is quite likely part of the problem, not the solution. It insults blacks and hispanics and breeds resentment in others. Let's stop discriminating against people because of their skin color and let's increase opportunity for everyone in our society, especially for those at the bottom of the economy.",0,"The author is correct to observe that "" ... racial disparities remain alarmingly wide . "" But there is no evidence to suggest that affirmative action can change that . Affirmative action is quite likely part of the problem , not the solution . It insults blacks and hispanics and breeds resentment in others . Let 's stop discriminating against people because of their skin color and let 's increase opportunity for everyone in our society , especially for those at the bottom of the economy .",8487
home schoolers,"Our school district is terrrible, and the results even worse. Last year a child was T-Bagged and beaten because he was white by a group of black football players. No one was punished...b/c they were afraid of the moron parents. We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from. Is that fair?",1,"Our school district is terrrible , and the results even worse . Last year a child was T - Bagged and beaten because he was white by a group of black football players . No one was punished ... b / c they were afraid of the moron parents . We send all 3 kids to private school at a considerable expense to ourselves yet the money we pay in taxes goes to the school we had to pull our kids from . Is that fair ?",8481
teach for america,"There is currently a glut of qualified teachers. Why are we taxpayers paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects?? Why should I (and laid off teachers) have to compete with govt-sponsored, less-qualified drones who are hand-picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education?",0,"There is currently a glut of qualified teachers . Why are we taxpayers paying millions of dollars for TFA and , here in NYC , NYC Teaching Fellows , et al while other grad students like myself are struggling to get through paying our own way and facing more and more miserable job prospects ? ? Why should I ( and laid off teachers ) have to compete with govt - sponsored , less - qualified drones who are hand - picked for their willingness to follow blindly if not for the fact that they water down the labor force in a period when the government is trying to undercut and underfund US education ?",8293
home schoolers,What's next? Childless families get the tax break? Those whose children go to private schools get a tax break? Do we get the tax break when our children finish schoo? We ALL have a vested interest in a well educated population. We all have an obligation to contribute to the public school system.,0,What 's next ? Childless families get the tax break ? Those whose children go to private schools get a tax break ? Do we get the tax break when our children finish schoo ? We ALL have a vested interest in a well educated population . We all have an obligation to contribute to the public school system .,8233
casinos,"The push for casinos demonstrates a lack of imagination and forethought of politicians. Casinos are not the wave of the future, they are regressive in every respect. Surely the state senator has a more creative, forward thinking solution to unemployment? Surely the state senator has more respect for his constituents, and will suggest something that elevates his district, bringing them sustainable development that relies on an educated and sophisticated populace, while protecting the cultural and natural resources of that area of NY. His suggestion that home prices will go up due to the introduction of casinos is absurd, and has not been substantiated in Atlantic City, Eastern Connecticut, or other areas with legalized gambling.",0,"The push for casinos demonstrates a lack of imagination and forethought of politicians . Casinos are not the wave of the future , they are regressive in every respect . Surely the state senator has a more creative , forward thinking solution to unemployment ? Surely the state senator has more respect for his constituents , and will suggest something that elevates his district , bringing them sustainable development that relies on an educated and sophisticated populace , while protecting the cultural and natural resources of that area of NY . His suggestion that home prices will go up due to the introduction of casinos is absurd , and has not been substantiated in Atlantic City , Eastern Connecticut , or other areas with legalized gambling .",8174
noncompete deals,"One thing about these 'noncompete agreements' (a nice term for 'legalised blackmail') is that they actually manage to put this country behind Russia - Czarist Russia, at that. After all, Alexander II did end serfdom back in 1861. With these ridiculous conditions still enforceable, we've yet to do so. Doesn't this make you proud to be an American?",0,"One thing about these ' noncompete agreements ' ( a nice term for ' legalised blackmail ' ) is that they actually manage to put this country behind Russia - Czarist Russia , at that . After all , Alexander II did end serfdom back in 1861 . With these ridiculous conditions still enforceable , we 've yet to do so . Does n't this make you proud to be an American ?",8139
extreme parenting,"I agree with comment #115. Raising children in a strict environment with limited play, relax time reduces their creativity and happiness in life. Take the Chinese vs American businesses an as example. Chinese are very hard working and good at making replicas for less, but Americans generally less hard working are better at creativity and invention, like technology. Our less structured culture supports innovation and successes like facebook, apple etc.",0,"I agree with comment # 115 . Raising children in a strict environment with limited play , relax time reduces their creativity and happiness in life . Take the Chinese vs American businesses an as example . Chinese are very hard working and good at making replicas for less , but Americans generally less hard working are better at creativity and invention , like technology . Our less structured culture supports innovation and successes like facebook , apple etc .",8118
sports program in undergraduate schools,"Playing Varsity Lacrosse in college saved me. It was the very best thing I could have done. It kept me focused, gave me a great group of friends, challenged me both physically and mentally, taught me a lot about trust and teamwork and propelled me through school. It was an incredible outlet for my energy and competitive spirt. I still to this day, believe many of my personal and professional strengths were developed by playing sports. The NCAA, without a doubt, needs to change. There is far too much money spent around the NCAA and the culture at top levels can be nasty and unattractive. But that doesn't that mean that Varsity Sports should be cut from colleges and that Varsity athletes should be punished. The NCAA needs reform as a whole-- sports need to be taken off the peddle stool that they currently stand on. But the importance of sports for many shouldn't be forgotten-- it is just as important as the arts and academia. The debate shouldn't be if varsity sports should be cut-- but how to reform the NCAA so that all schools can keep varsity sports without spending so much money.",1,"Playing Varsity Lacrosse in college saved me . It was the very best thing I could have done . It kept me focused , gave me a great group of friends , challenged me both physically and mentally , taught me a lot about trust and teamwork and propelled me through school . It was an incredible outlet for my energy and competitive spirt . I still to this day , believe many of my personal and professional strengths were developed by playing sports . The NCAA , without a doubt , needs to change . There is far too much money spent around the NCAA and the culture at top levels can be nasty and unattractive . But that does n't that mean that Varsity Sports should be cut from colleges and that Varsity athletes should be punished . The NCAA needs reform as a whole-- sports need to be taken off the peddle stool that they currently stand on . But the importance of sports for many should n't be forgotten-- it is just as important as the arts and academia . The debate should n't be if varsity sports should be cut-- but how to reform the NCAA so that all schools can keep varsity sports without spending so much money .",8074
