topic,argument,tokenized_argument,label
special schools for the deaf,"Please note that many many comments in response to this article as well as the article itself sadly lacks an in depth understanding of Deaf people. As distinguished professor Harlan Lane notes in his current book, ""People of the Eye: Deaf Ethnicity and Ancestry"" viewing Deaf and hard of hearing people as a disabled group ignores the history/traditions, language, social mores and customs of generations of Deaf people. Much of the language, history, and customs which have been carried through Deaf schools and provided Deaf people with access to a truly well-rounded education. In the 1988 Congressional Report on the Commission on the Education of the Deaf one of the primary findings was the problem which ""has arisen related to the Education of All-Handicapped Children's Act is widespread misinterpretation of the ""Least Restrictive Environment"" concept. Too often deaf children have been place in improper educational settings because educational agencies have prioritized placement with nonhandicapped children...(pg. 10) As many of us in the field have noted ""inclusion is illusion,"" that is physical proximity does not assure interaction....and an appropriate education, therefore, is NOT guaranteed to Deaf students via PL 94-142 nor IDEA.","Please note that many many comments in response to this article as well as the article itself sadly lacks an in depth understanding of Deaf people . As distinguished professor Harlan Lane notes in his current book , "" People of the Eye : Deaf Ethnicity and Ancestry "" viewing Deaf and hard of hearing people as a disabled group ignores the history / traditions , language , social mores and customs of generations of Deaf people . Much of the language , history , and customs which have been carried through Deaf schools and provided Deaf people with access to a truly well - rounded education . In the 1988 Congressional Report on the Commission on the Education of the Deaf one of the primary findings was the problem which "" has arisen related to the Education of All - Handicapped Children 's Act is widespread misinterpretation of the "" Least Restrictive Environment "" concept . Too often deaf children have been place in improper educational settings because educational agencies have prioritized placement with nonhandicapped children ... (pg . 10 ) As many of us in the field have noted "" inclusion is illusion , "" that is physical proximity does not assure interaction .... and an appropriate education , therefore , is NOT guaranteed to Deaf students via PL 94 - 142 nor IDEA .",1
vacation,"I agree with the poster who said there's no one-size approach to this question. My ideal solution would be to take a vacation without the kids ~and~ the husband. Of course, you don't know my family. You think that's heartless and selfish until I explain that I live with the exasperating reality of a husband with mental illness and five step-kids two of whom also have mental illness, who spend the majority of their time with a mom who has very low standards for her own behavior let alone theirs. Yeah, I know- it's my bed, I'll lie in it. But a couple nights to lie in it alone would be nice.","I agree with the poster who said there 's no one - size approach to this question . My ideal solution would be to take a vacation without the kids ~and~ the husband . Of course , you do n't know my family . You think that 's heartless and selfish until I explain that I live with the exasperating reality of a husband with mental illness and five step - kids two of whom also have mental illness , who spend the majority of their time with a mom who has very low standards for her own behavior let alone theirs . Yeah , I know- it 's my bed , I 'll lie in it . But a couple nights to lie in it alone would be nice .",1
a gamble,"it hilarious that the states scream for Casino's yet fear legalizing marijuana. Gambling destroys more families than marijuana ever did. Casino's prey far more on those who can least afford to gamble than it does in attracting the extremely wealthy to gamble away what they have in the same percentage terms. Know why ? Rich are rich for a reason, they did not gamble away their chance at success, wasting their money on a dream of striking it rich. Casino's pay terribly low wages for service persons. Casino's in the end cost society more than they can ever generate to the states or federal gov't. Casino's should as they always were be a destination resort to insure those that do gamble can at least afford it. I never saw a poor person at Atlantis in the Bahamas, or Aruba, I cannot say the same for Foxwoods, Atlantic City, or even Las Vegas. At one time Las Vegas was a destination resort, now it too exploits the poor more than taking from tourists I don't gamble, but I do enjoy watching people play, I don't enjoy watching them lose.","it hilarious that the states scream for Casino 's yet fear legalizing marijuana . Gambling destroys more families than marijuana ever did . Casino 's prey far more on those who can least afford to gamble than it does in attracting the extremely wealthy to gamble away what they have in the same percentage terms . Know why ? Rich are rich for a reason , they did not gamble away their chance at success , wasting their money on a dream of striking it rich . Casino 's pay terribly low wages for service persons . Casino 's in the end cost society more than they can ever generate to the states or federal gov't . Casino 's should as they always were be a destination resort to insure those that do gamble can at least afford it . I never saw a poor person at Atlantis in the Bahamas , or Aruba , I can not say the same for Foxwoods , Atlantic City , or even Las Vegas . At one time Las Vegas was a destination resort , now it too exploits the poor more than taking from tourists I do n't gamble , but I do enjoy watching people play , I do n't enjoy watching them lose .",0
control,"I find this a stunning essay. The large banks were teetering on the edge of complete collapse just 5-6 years ago. And he's calling these same banks the best run businesses on the planet? Well if I started a business and got huge Federal bailouts when I was at risk of going out of business, I'd do really well too. In my view, the banks should have been allowed to fail for their reckless behavior.","I find this a stunning essay . The large banks were teetering on the edge of complete collapse just 5 - 6 years ago . And he 's calling these same banks the best run businesses on the planet ? Well if I started a business and got huge Federal bailouts when I was at risk of going out of business , I 'd do really well too . In my view , the banks should have been allowed to fail for their reckless behavior .",0
felons,"""The right to vote can be restored to felons, but it should be done carefully, on a case-by-case basis after a person has shown that he or she has really turned over a new leaf ..."" ------- In other words, let's create another bureaucracy that we can then underfund to the point that it becomes dysfunctional and use as an example to show that ""government is the problem."" ""Center for Equal Opportunity?"" What a joke.",""" The right to vote can be restored to felons , but it should be done carefully , on a case - by - case basis after a person has shown that he or she has really turned over a new leaf ... "" ------- In other words , let 's create another bureaucracy that we can then underfund to the point that it becomes dysfunctional and use as an example to show that "" government is the problem . "" "" Center for Equal Opportunity ? "" What a joke .",1
electric cars,"I'm guessing electric cars will take off when someone comes up with a $200 portable solar-powered (or wind) recharger that can be wheeled out of the garage and top off the battery OFF THE GRID. Otherwise, you're adding $2,000 to your annual electric bill. Same goes for home solar... It has to be sold for a few hundred bucks at Home Deport and not take up your entire back yard.","I 'm guessing electric cars will take off when someone comes up with a $ 200 portable solar - powered ( or wind ) recharger that can be wheeled out of the garage and top off the battery OFF THE GRID . Otherwise , you 're adding $ 2,000 to your annual electric bill . Same goes for home solar ... It has to be sold for a few hundred bucks at Home Deport and not take up your entire back yard .",0
more serious crime,"Citations rather than arrests for minor crimes still make a lot of sense. But I'm not sure that would have helped here---the guy who commits the same crimes over and over, and resists arrest, is likely to fail to appear in court, and then you're stuck with arrest as a solution. Ultimately, if the perceived price to the individual of defying or ignoring the law is lower than the benefits they think they get from breaking the law, you have a big problem.","Citations rather than arrests for minor crimes still make a lot of sense . But I 'm not sure that would have helped here --- the guy who commits the same crimes over and over , and resists arrest , is likely to fail to appear in court , and then you 're stuck with arrest as a solution . Ultimately , if the perceived price to the individual of defying or ignoring the law is lower than the benefits they think they get from breaking the law , you have a big problem .",0
your cat,"Bravo! cats with front claws often do terrible damage to furniture. While it is politically correct to object to it, the fact is there will be fewer homes for cats, who will end up being euthanized. The comparison isn't between an imaginary garden of Eden and declawing, but rather the choice is between more feral cats and more put down. Those of us who love cats don't want to see well-meaning humans decree that millions of cats suffer to meet the needs of humans.","Bravo ! cats with front claws often do terrible damage to furniture . While it is politically correct to object to it , the fact is there will be fewer homes for cats , who will end up being euthanized . The comparison is n't between an imaginary garden of Eden and declawing , but rather the choice is between more feral cats and more put down . Those of us who love cats do n't want to see well - meaning humans decree that millions of cats suffer to meet the needs of humans .",1
felons,"I'm disgusted that this is even a question. Of course ANYONE who is a citizen has the right to vote! It is just sickening that partisan jerks from the GOP care more about gaining power so they can personally profit than they are about Democracy. Next, you fools will say you can only vote if you have a job, or own a house.","I 'm disgusted that this is even a question . Of course ANYONE who is a citizen has the right to vote ! It is just sickening that partisan jerks from the GOP care more about gaining power so they can personally profit than they are about Democracy . Next , you fools will say you can only vote if you have a job , or own a house .",1
israel,"America invented nuclear weapons and is the only nation to use them. America has a huge nuclear arsenal. America has invaded and occupied Muslim nations Israel has nuclear weapons and is not a party to the Nuclear Non-Proliferation Treaty(NPT). Israel has occupied, besieged and blockaded Palestinian Land along with making Israeli Arabs second class citizens. Iran is a party to the NPT and has no nuclear weapons. Iran is not ocuupying any other nations land. ""Why Iran Should Get the Bomb"" Kenneth Waltz Foreign Affairs July/August 2012","America invented nuclear weapons and is the only nation to use them . America has a huge nuclear arsenal . America has invaded and occupied Muslim nations Israel has nuclear weapons and is not a party to the Nuclear Non - Proliferation Treaty(NPT ) . Israel has occupied , besieged and blockaded Palestinian Land along with making Israeli Arabs second class citizens . Iran is a party to the NPT and has no nuclear weapons . Iran is not ocuupying any other nations land . "" Why Iran Should Get the Bomb "" Kenneth Waltz Foreign Affairs July / August 2012",0
speech,"The Government has no business controlling its workers' free speech on religoius matters during off-hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable. This is easily demonstrable -- as follows: A person is an adherent to a new religion. This religion believes that the holy books of three large monotheistic religions, Judaism, Christianity and Islam, have been corrupted, have errors and therefore must be cleansed. The required cleansing is done by fire. Each Sabbath, adherents must burn one page of each of the holy books for these faiths. It is a bona-fide belief helf by adherents to this faith. If the government prevents them from conducting their cleansing ceremony because others are offended, then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices.","The Government has no business controlling its workers ' free speech on religoius matters during off - hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable . This is easily demonstrable -- as follows : A person is an adherent to a new religion . This religion believes that the holy books of three large monotheistic religions , Judaism , Christianity and Islam , have been corrupted , have errors and therefore must be cleansed . The required cleansing is done by fire . Each Sabbath , adherents must burn one page of each of the holy books for these faiths . It is a bona - fide belief helf by adherents to this faith . If the government prevents them from conducting their cleansing ceremony because others are offended , then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices .",1
a tax break,"Although I have no idea what studies show about home schooled kids, I do know that, having hired two of them, my impression is not favorable. Both were prima donnas who spent a lot of time complaining about work rules, who thought that they should be able to change work processes to suit them, and who resorted to crying and making scenes to try and get their way with co-workers. The public school system was established primarily as a benefit to society, not just the individual child. That is why we all pay taxes to the schools whether we have kids or not. If people want to take their children out, so be it -- but they still still have their obligation to support the schools.","Although I have no idea what studies show about home schooled kids , I do know that , having hired two of them , my impression is not favorable . Both were prima donnas who spent a lot of time complaining about work rules , who thought that they should be able to change work processes to suit them , and who resorted to crying and making scenes to try and get their way with co - workers . The public school system was established primarily as a benefit to society , not just the individual child . That is why we all pay taxes to the schools whether we have kids or not . If people want to take their children out , so be it -- but they still still have their obligation to support the schools .",0
restaurants,"""Why would any server go out of his way to give excellent service when he knows he'll be getting the same pay regardless of whether he busts his hump or takes it relatively easy by doing just enough to meet the minimum standards?"" How about to keep his job? There's no reason that waitstaff couldn't have performance reviews like many other occupations. And without tipping, I betunhappy customers would communicate that fact directly to management, instead of just to the individual server via dollar bills.",""" Why would any server go out of his way to give excellent service when he knows he 'll be getting the same pay regardless of whether he busts his hump or takes it relatively easy by doing just enough to meet the minimum standards ? "" How about to keep his job ? There 's no reason that waitstaff could n't have performance reviews like many other occupations . And without tipping , I betunhappy customers would communicate that fact directly to management , instead of just to the individual server via dollar bills .",1
schoold,"Aron (#36) is right. Not every part of the educational system here in the U.S. is broken. Only those parts that serve the poor are broken. Mr. Canada's suggestion might well be necessary for the schools he oversees. But most schools don't have the same problems, and for them a longer school day seems unnecessary. To bridge the achievement gap, we need to bring the bottom up. The top is for the most part where it ought to be.","Aron ( # 36 ) is right . Not every part of the educational system here in the U.S. is broken . Only those parts that serve the poor are broken . Mr. Canada 's suggestion might well be necessary for the schools he oversees . But most schools do n't have the same problems , and for them a longer school day seems unnecessary . To bridge the achievement gap , we need to bring the bottom up . The top is for the most part where it ought to be .",1
capital gains,"All income should be taxed the same. It shouldn't matter how the money got there. I can imagine that capital gains might be adjusted for inflation. Still, charging 15% for capital gains, or less, as has been proposed, diminishes society's value of work. Work creates concrete economic growth, manipulating money doesn't. At worst it just creates more debt.","All income should be taxed the same . It should n't matter how the money got there . I can imagine that capital gains might be adjusted for inflation . Still , charging 15 % for capital gains , or less , as has been proposed , diminishes society 's value of work . Work creates concrete economic growth , manipulating money does n't . At worst it just creates more debt .",0
