Delete (else flip label),HITId,topic,argument,label
x,3NSCTNUR21YHCL9Y33B00ZSKVCZ5A8,farms,"Factor in the cultural negatives, the governmental (read taxes and free social services) impact, the educational costs (ESL? English is the language of our country.), the crime and the continuing ghettoization of cities (albeit just another sign of the failure of multiculturalism) and most folks would be happy to pay more at the greengrocer for US citizen-picked produce. The mantra of 'jobs Americans don't want' leaves out the 'at that pay' aspect.",0
,3PEG1BH7AG2PDEZTG4F2XZV8AKFKB3,use of the word,"1. This 'Food Babe' (neat commercial!) seems to think that her personal campaigns forced some mega food companies to change their labels. Consumer protest works, but not when it is a solo effort. A bit much self-promotion here. 2. This debate is about one word, ""natural."" Language is too complex for the debate to be about one word. The issue is can claiming in the name that something is not present. It defies logic to state in a product name that lemon is in the product when in fact there is no lemon at all. That is simply misleading (bold face lying). ""Lemon"" in common nomenclature is something that comes from the lemon plant, not it's laboratory produced analog. Isn't truth in advertising the issue? 3. My food slogan is ""I'm very careful about what I put in my mouth."" So that unfortunately means every label must be scrutinized.",1
x,3S1L4CQSFZG9EI2N9FO9MBJXK6DAFW,charter schools,"What is most galling about the advocates and activists who insist on the right of the most disruptive kids to endanger their peers and compromise their education is the fact that they would never tolerate such behavior at the economically stratified schools where they send their own children. When was the last time a first-grader at a high-end Manhattan, Westchester, or Nassau private or public school picked up a chair over their head and threw it at a classmate, or told the teacher, using several of George Carlin's seven words, to perform an anatomically impossible act?",0
,3TZ0XG8CBWVMUKIV9V43GORRRKI89Y,us,"The United States resolutely looked the other way when Saddam Hussein, an ally, used chemical weapons against Iranians and Kurds in the 80's. Ignoring atrocities committed by allies is an established and accepted foreign policy practice so perhaps we just declare Assad an ally and call it a day.",1
,3X878VYTIGTRVG4P2CCPCKH7JY7F7A,electric cars,"""Most of the benefits of the all-electric vehicle thereby get squeezed out."" --- that's a bit of a stretch, surely? The Volt's range-extender is a necessary compromise but would seem to be an excellent one (for the time being): the ""generator and associated controls, and a gas tank and fuel lines and exhaust system"" are not as large as Professor Smitka makes them out to be.",0
,33CLA8O0MKM1DZO4BQAVH187KAOFRW,greece,"Optimism, please ! The sky is not falling as some predict. Papandreou has shrewdly realized he can can pressure Europe for a better deal. Thus in the end there's a bigger haircut and Greece remains in the Euro. Ditto for the others.",0
,36FQTHX3Z52JHGRMVYN3GDE6ZYGB36,taxing capital gains,"This article touches a nerve. For 40 years I've operated a tour company in Canada and ,on account of taxation, was in no hurray to grow the company.One accepts tax on income but when taxed 40% on the additional income that the original income may make, the incentive to expand dissipates.So if this represents the mind frame of a small number entrepreneurs, a lot of jobs, capital and opportunity is not being created.",1
x,37VHPF5VYEEOSIPYLFEUIESZX588C2,public preschool,"I would like to suggest an additional choice. If we are going to subsidize preschool or child care, why not also subsidize parents who want to stay home with their children but can't afford to? We are constantly being urged to copy European measures to provide care for children outside the home, but we are never urged to follow the example of Finland, France, Norway, Belgium and Austria by also providing parental home-care allowances. Why the selectivity? I am afraid it is because while feminism claims to oppose our tendency to hold the work of childcare in low regard - a tendency which predates second-wave feminism - it has done virtually nothing to correct that prejudice. Instead it supports an everybody-into-the-workforce ideology which in turn relies on the availability of underpaid childcare.",1
x,3B6F54KMR4NMOZU9JGVFI99952OS1W,your cat,"A cat living in the wild needs its claws for climbing trees and for self defense. A pet cat kept indoors does not need its claws. If I have to keep a pet cat I would insist on declawing it. Otherwise I would forgo the pleasure of having a cat as a pet, no matter how cuddly.",0
,3BDORL6HKMOUAN4UKOKU9VN4NXWCRI,prostituion,"We've seen how a wild west approach with no laws works - abused children and adults get exploited. At least with a legal system there are some checks and balances to protect the workers, satisfy demand, and ensure a safe work environment for adults. With a legal path, there's an incentive to play by the rules. Those who continue to operate outside of the laws - the traffickers and child abusers - have less cover from the laws and those who enforce them.",0
,3DGDV62G7QKW0SWDA3RZSNE3AOV2P7,home schoolers,"While we are at it, why not a tax break for people with no children since their (non-existent) kids do not use the public school system, and they still pay taxes to support it? If people choose not to use tax-payer sponsored education for their kids, do the childless taxpayers have to shoulder the burden of educating their children anyway? Would the country be better off with everyone educating their own kids? If I pay less than my fair share of taxes, am I keeping my own money or stealing it from the country? Wouldn't it be better to be worrying about the deficit, the economy and the lack of jobs? Is there any value to thinking through matters properly anymore?",1
,3H4IKZHALDTSMT9TG7CRGMC6L4LNNN,grade colleges,"Perhaps the government should start by rating K-12 schools. Identify the myriad failing public schools -- how hard should that be? And then, give these students vouchers to give them a shot at a meaningful K-12 education, Improve K--12 education first, and then worry about the colleges.",1
,3IKMEYR0LY6VP1ZXXBMRW6S4GEPK2O,speech,"What the NJ Transit employee failed to understand is that there is a distinction between free speech rights (burning a Koran, a flag or what have you) and the fact that employment in America is, by and large, at-will -- you can get fired if your boss doesn't like the color of your socks. If his off-hours -- but very public and very controversial -- actions were deemed to affect his workplace efficiency, then his employer had a perfect right to fire him. Sadly, this particular individual has learned, in the harshest way possible, a rule of Free Speech that many tend to forget in our times: just because you have the right to say whatever you want it doesn't mean that it's always a smart idea to do so.",0
x,3JMNNNO3B3FMK1TEMP5UKHMZ3LY2W2,veganism,"I haven't read through all the comments, but I strongly feel that diet (and what keeps one healthy) is extremely individual and dependent on many things-including allergies, sensitivities, previous medical history, religious experience, and emotional situations, to name a few. I grew up with a father who was a heavy smoker. Possibly as a result, I was given large doses of steroids (to which I became addicted) because I had asthma throughout much of my adolescence. I was also put on thyroid medication for seven years unnecessarily because, at that time, the measures for thyroid were faulty. So today I suffer from osteoporosis and so have adopted a diet rich in calcium. Fortunately, I am not too lactose intolerant and can handle milk products, unless I pick up a virus. I mention all of this to point out that we all have our individual food needs and shouldn't feel compelled to tell others what's good for them.",0
x,3JMQI2OLF1GJ0HIGRDYOKH0C70JND5,farms,"Aren't these the same farmers that jump up and down screaming about illegal immigration when the kids want to go to school? The ones that accept huge subsidies from the federal government? My guess is that the ones who are really upset are the large Agribusinesses that use hundreds of illegal laborers at a time. Many small farmers are succeeding with high quality locally raised crops. Here in central Massachusetts, where growing is a real challenge, the small farms are doing very well. Locally raised produce that doesn't need to be transported and stored at tremendous cost is inherently cheaper and better. In the past many solutions to the problem have been proposed, including permits to work temporarily in the US. All defeated. I think some people just like cheap labor and no accountability. Not to worry, though, the migrants are no longer flowing to the US and there are millions of unemployed Americans, so it will work itself out to the benefit of the farmers if we just keep destroying the economy.",0
x,3JTPR5MTZUNNOYIKFUOPUDVG0OG5KA,oversight of internet addresses,"I think we would be kidding ourselves if we tried to prevent the transition to a multi stakeholder system for Icann. If we try to stop the proposal, the rest of the world will create an alternative domain name management system.",0
x,3KLL7H3EGFCDK2WRF035LJ9NLVEHVP,your cat,"Make it illegal. I raised 3 beautiful strays, none of which were declawed. My cats are all well cared for, loved, and yea, from time to time I wake up to the sound of claws on my couch. I will say I spoil my cats, not horribly, but they have toys, scratch post, etc. No pet (fur baby) is perfect. So because they claw your couch you rip their fingers out? Sooooo, please don't procreate I don't want to know what you would do to a human child for say wetting the bed, or throwing a temper.....pets have feelings, brains, hearts, etc. Treat them with some respect and understanding. Ask yourself ""what can I do differently to help my cats bad behavior."" I'll also add my cats are loving and have NEVER bitten anyone! They also don't scratch or claw me, in fact 2 out of 3 are especially aware of people are are careful to retract claws when playing/running/jumping near humans. Time and patience. Stop being lazy and cruel.",1
,3M0556243UVGY1WCIJTE8H3XJDZFN8,a gateway drug,"At 70 I can smoke pot using a vaporizer for joint pain, and feel good or not. There is no tolerance. There is no withdrawal. There is no chance of lethal seizures on cold turkey cessation of use. MJ is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high, but again no one has ever bled out from MJ. Why would a reasonable person even make the comparison between MJ and opiates, when there is no equivalency? Alcohol is the most addictive and lethal intoxicant of all narcotics or benzos or even crack. When a football player is suspended for MJ detected in his body, I know I'm in a world full of crazy people. There is no rime or reason!",1
,3OYHVNTV5V99W8O2K9KO3JV7HJLKOU,vaccination,The choice to abstain from vaccination tends to be based upon concerns about the additives and preservatives placed in the shots. I do not understand why my cat can get an additive free vaccine and my child cannot. How about demanding a change in the pharma industry to make the actual shots safer? There are known human carcinogens like formaldehyde and neurotoxins such as aluminum in many vaccines. Vaccine injuries are very real and a risk some are just not willing to take.,1
,3ULIZ0H1VCGLIXWY7KI7PYZHRIG517,electric cars,"I have a diesel car, a VW Jetta Sportwagon, that I average 30 mph in the city and 44 - 50 mph on highway trips. Diesel cars are 50% of the cars on the road in Europe. They ARE available in the U.S. But the reason that the electric car is not likely to go anywhere in the next decade or two in this country will be the same reason that Americans do not have 50% of their cars using clean diesel. The SMART car has been in Canada for sometime, but in Canada it runs on a 3 cylinder diesel and gets over twice the mileage I get. But why isn't the diesel version of the Smart car in the U.S.? The clean diesel Smart cars of Canada and my VW Jetta both meet California emission standards. When the U.S. government can explain to the American public why we are so far behind Europe technologically, then perhaps we will move to fuel efficient vehicles. Electric cars in the U.S.A. will have the same fate as 8 track tapes and Sony Beta. Go figure..",1
x,3VIVIU06FMNUQAD27QKZYZRPUFHIM2,farms,"There is a country-wide stigma against agricultural work. Part of that is due to hold overs from the slavery period. Part of that is due to a perception of minimum wage or less work. What we really need, and are seeing in some of these younger farmers, is a new class of people. People who are extremely intelligent, very hard working, who understand mesh networks, cellular and microbiology, organic chemistry, geology, hydrology, pest control, and synergistic relationships. And we need to get the word out that that's what this new age of farming is all about, and not using ignorant, illegal immigrants.",0
,3WRAAIUSBLAQE4T899UVSIJ4OBWAXA,mideast peace,"Arab League has forbidden Abbas to recognize the Jewish state. Arabs showed clearly that their goal is not a peace, but a destruction of Israel. About what can Israel speak with Arabo-fascists? About a destruction of Israel? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West.",1
,3ZUE82NE0CCVVU98CH4VQKD2UI08FD,minor violations,"Once upon a time, the police were one of the most respected institutions in America, but now most Americans fear them. Almost every single day there are multiple stories of police brutality or misconduct that make the local news. Increasingly, police departments all over the United States are being transformed into military-style units. These days, even very minor violations of the law can result in a SWAT team raid.",1
