topic,argument,label,tokenized_argument
kids,"Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in? Seriously? Procedures & materials for road repair? Medical practices in surgery? Proper chemicals used to treat the town water? We could all have opinions on these but are they professional or informed? Parents do not have a six-year degree and teaching license to qualify for text/curriculum/lesson plan design - just as they have no geology degree for road projects, or med degree for surgical procedures, or chemical engineering degree for civic operations. If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine, scholarly education, and sound civic operations to be able to do their best for us. This attitude of ""Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I've seen on Fox News"" is getting out of hand.",1,"Should parents be given a shopping list or a line item veto for everything their tax dollars are involved in ? Seriously ? Procedures & materials for road repair ? Medical practices in surgery ? Proper chemicals used to treat the town water ? We could all have opinions on these but are they professional or informed ? Parents do not have a six - year degree and teaching license to qualify for text / curriculum / lesson plan design - just as they have no geology degree for road projects , or med degree for surgical procedures , or chemical engineering degree for civic operations . If individuals are so fearful and filled with anxiety & distrust of modern society , is nt that a private matter for the family and perhaps a mental health professional to deal with vs. these private fears being foisted on the general public who want modern medecine , scholarly education , and sound civic operations to be able to do their best for us . This attitude of "" Some of my tax money is involved so I wish to inject my own set of facts and opinions with a red face and a loud voice like I 've seen on Fox News "" is getting out of hand ."
greater success,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution. It did not lead to the invention of the light bulb, or the telephone, or the internet, or the NYT electronic discussion board. Just ""enjoying"" life alone means you are enjoying the fruit of someone else's hard work.",1,"The "" you have a short live , so enjoy "" attitude alone did not lead to the Renaissance , the age of Enlightment , or the Industrial Revolution . It did not lead to the invention of the light bulb , or the telephone , or the internet , or the NYT electronic discussion board . Just "" enjoying "" life alone means you are enjoying the fruit of someone else 's hard work ."
medical websites,"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!",1,"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general . There was a time when the Church was against translating the Bible . ( you ca n't have access to that , you 're too much of an idiot ! ) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions . Excellent !"
their land,"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge. I live on the Boise River in an area that has kept access open to the public. Just downstream, a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard. This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations. Last time the river became a bit unruly, the national guard was called out to move earth and place sandbags to protect these areas. If you receive or need public help, then you need to provide public access.",0,"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge . I live on the Boise River in an area that has kept access open to the public . Just downstream , a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard . This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations . Last time the river became a bit unruly , the national guard was called out to move earth and place sandbags to protect these areas . If you receive or need public help , then you need to provide public access ."
mother teresa,"She was a criminal as far as I've ever seen and read. Too bad Christopher Hitchens weren't alive to give us the facts, not his theories about her. But for an institution that gives half hearted apologies, excuses, and outright lies, not to mention legal maneuverings to avoid criminal action, for years involving the sexual abuse of children, then shuffles its biggest criminal Bernard Law to a cushy job in Rome to avoid prosecution. Oh well. If Jesus would behave this way then I guess I know nothing of his life. For Catholics who gleefully go along with this stuff, let's not judge too harshly the extremist Muslims. The Catholics in America practice a craziness that isn't far behind.",1,"She was a criminal as far as I 've ever seen and read . Too bad Christopher Hitchens were n't alive to give us the facts , not his theories about her . But for an institution that gives half hearted apologies , excuses , and outright lies , not to mention legal maneuverings to avoid criminal action , for years involving the sexual abuse of children , then shuffles its biggest criminal Bernard Law to a cushy job in Rome to avoid prosecution . Oh well . If Jesus would behave this way then I guess I know nothing of his life . For Catholics who gleefully go along with this stuff , let 's not judge too harshly the extremist Muslims . The Catholics in America practice a craziness that is n't far behind ."
nations,"Quite simply, the Palestinian authority needs to recognize Israel's right to exist as a Jewish state, and Hamas (if they're a participant) needs to disavow its commitment to the destruction of Israel and the Jews. Until that happens, it's hard to see how any rational, objective person could support Palestinian statehood.",0,"Quite simply , the Palestinian authority needs to recognize Israel 's right to exist as a Jewish state , and Hamas ( if they 're a participant ) needs to disavow its commitment to the destruction of Israel and the Jews . Until that happens , it 's hard to see how any rational , objective person could support Palestinian statehood ."
everyone,"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people.",0,"Mike Tyson ate meat when he was the most feared boxer in the world . He only became a vegan long after his boxing days are over , so he hardly counts as an elite vegan athlete . Similarly , Lance Armstrong did n't win all those Tour victories as a vegan . I 'd be interested to know when the other athletes Rip mentioned became vegans . I 'd bet it was long after they had become champions . In any case , for every vegan elite athlete Rip names , I can name a couple hundred omnivorous ones . So despite these examples , it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his / her nutritionally deficient vegan diet , and NOT because of it . You can go up a hill by walking on your hands . Does n't mean it 's the best or most efficient way to do it , or even that this is a possibility for most people ."
the u.s.,"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.",1,"Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs can not be initiated right now even with the embargo in place . But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent . Recognize mutual interests . For example , both countries have an interest in studying hurricanes , coral reefs and generally looking at climate change ; a particular threat to south Florida and Cuba . These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country ."
sanctions,"Both countries have Interests Sections in Washington and Havana. There is no reason whatsoever that programs cannot be initiated right now even with the embargo in place. But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent. Recognize mutual interests. For example, both countries have an interest in studying hurricanes, coral reefs and generally looking at climate change; a particular threat to south Florida and Cuba. These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country.",0,"Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs can not be initiated right now even with the embargo in place . But both countries have to be willing to work together and avoid the easy out of saying the other side is intransigent . Recognize mutual interests . For example , both countries have an interest in studying hurricanes , coral reefs and generally looking at climate change ; a particular threat to south Florida and Cuba . These kinds of programs raise awareness that cooperation is preferable and in mutual interests of each country ."
control,"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",1,"It should be clear by now that , given enough slack in their leash , the banks will take the path of highest leverage without concern for risk . Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough . Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else 's money and lost . We desperately need the Glass Steagall wall between deposits and investments . It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy . Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity ? The rapid rise in personal debt in the form of credit card debt , mortgages and student loans is feeding these to - big - to fail financial behemoths that throw their weight around Washington ."
people,"Again, Pinker is only looking at certain strata of the population, the best-educated. He is ignoring the obvious evidence that a lot of poorly-educated people do not have the survival skills that our ancestors had. It is probably true that worldwide, a lot of abstract reasoning skills have diffused more widely among the general population, causing a rise in performance on IQ tests. However, when I've taught young people (as a volunteer), I've been astounded at how wide the gaps are between the small proportion of kids who can read and write and think, the largest group, who stumble over the simplest texts and cannot read aloud, and the group who don't even know what reading and writing are. Clearly, something is going on. Pinker is willfully avoiding it, because it's an embarassment to the liberal elite of which he is a part, and who are largely responsible for the decline in educational standards.",1,"Again , Pinker is only looking at certain strata of the population , the best - educated . He is ignoring the obvious evidence that a lot of poorly - educated people do not have the survival skills that our ancestors had . It is probably true that worldwide , a lot of abstract reasoning skills have diffused more widely among the general population , causing a rise in performance on IQ tests . However , when I 've taught young people ( as a volunteer ) , I 've been astounded at how wide the gaps are between the small proportion of kids who can read and write and think , the largest group , who stumble over the simplest texts and can not read aloud , and the group who do n't even know what reading and writing are . Clearly , something is going on . Pinker is willfully avoiding it , because it 's an embarassment to the liberal elite of which he is a part , and who are largely responsible for the decline in educational standards ."
women,I had a beautiful home birth with a licensed midwife in 2011. I was so inspired by the experience that I became a certified birth doula and have attended 17 births (many at home or at a birth center). All women should have the opportunity to choose where they feel safest birthing. SO grateful for midwifery!,1,I had a beautiful home birth with a licensed midwife in 2011 . I was so inspired by the experience that I became a certified birth doula and have attended 17 births ( many at home or at a birth center ) . All women should have the opportunity to choose where they feel safest birthing . SO grateful for midwifery !
the u.s. embassy,"If the USA Embassy is truly 100% constantly strong and unified in supporting Israel's right to exist, Israel's right to be a Jewish nation and Jerusalem as Israel's eternal capital then yes and amen, stand bold and strong with the uncompromised rights of Israel. USA Embassy's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel's capitol. I will require the tangible consistent defense, offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root. It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice. I don't claim to be an expert, these are my prayerful thoughts on this topic. I believe that Reverend Robert Stearns speaks with wisdom, knowledge and insight. Above all may G-d's righteous holy will be done. -Reverend Tracie Plungis, NJ, USA",1,"If the USA Embassy is truly 100 % constantly strong and unified in supporting Israel 's right to exist , Israel 's right to be a Jewish nation and Jerusalem as Israel 's eternal capital then yes and amen , stand bold and strong with the uncompromised rights of Israel . USA Embassy 's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel 's capitol . I will require the tangible consistent defense , offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root . It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice . I do n't claim to be an expert , these are my prayerful thoughts on this topic . I believe that Reverend Robert Stearns speaks with wisdom , knowledge and insight . Above all may G - d 's righteous holy will be done . -Reverend Tracie Plungis , NJ , USA"
in-state students,"California's in-state/out-of-state tuition policies are a boon for Utah. Some of the smartest students I've met at Utah State University found that out-of-state tuition at USU is tens of thousands of dollars less than in-state tuition in California. So they came here instead. Perhaps public universities in Utah and California are playing the same game, trying to attract out-of-state residents who will pay more tuition at the expense of admitting qualified in-state applicants. When two states play this game, the state with a lower cost of living wins. As California seeks to attract overseas and out-of-state talent, it should seriously consider where outside its borders it is driving its own in-state talent to go.",1,"California 's in - state / out - of - state tuition policies are a boon for Utah . Some of the smartest students I 've met at Utah State University found that out - of - state tuition at USU is tens of thousands of dollars less than in - state tuition in California . So they came here instead . Perhaps public universities in Utah and California are playing the same game , trying to attract out - of - state residents who will pay more tuition at the expense of admitting qualified in - state applicants . When two states play this game , the state with a lower cost of living wins . As California seeks to attract overseas and out - of - state talent , it should seriously consider where outside its borders it is driving its own in - state talent to go ."
people,"I think our abilities in the fields of rational thought and logic are being usurped by technology. As another debater said; we find it difficult to read a map or measure a room for carpeting. However these everyday functions are made easier with the development of GPS and laser measuring readers. And the examples in this category are many. Perhaps we are being made less discerning through the ubiquitous barrage of marketing - a child of 3 would have been exposed to millions of TV ads - however that child will probably be more competent in the USE not necessarily the DEVELOPMENT of technology, than an adult of today. Industrial research and development has driven a new world of technology which enables many more people to use innovative electronic appliances designed by the few. 50 years ago if your car stalled you would more than likely know why and if you towed it home, perhaps fix it. With today's computerized control systems, that's impossible. So are we getting dumber? Some are and some aren't. I only hope I'm part of the latter. What I do know is that I cannot function without the occasional assistance from my Apple Dictionary.",1,"I think our abilities in the fields of rational thought and logic are being usurped by technology . As another debater said ; we find it difficult to read a map or measure a room for carpeting . However these everyday functions are made easier with the development of GPS and laser measuring readers . And the examples in this category are many . Perhaps we are being made less discerning through the ubiquitous barrage of marketing - a child of 3 would have been exposed to millions of TV ads - however that child will probably be more competent in the USE not necessarily the DEVELOPMENT of technology , than an adult of today . Industrial research and development has driven a new world of technology which enables many more people to use innovative electronic appliances designed by the few . 50 years ago if your car stalled you would more than likely know why and if you towed it home , perhaps fix it . With today 's computerized control systems , that 's impossible . So are we getting dumber ? Some are and some are n't . I only hope I 'm part of the latter . What I do know is that I can not function without the occasional assistance from my Apple Dictionary ."
capital gains,"This article touches a nerve. For 40 years I've operated a tour company in Canada and ,on account of taxation, was in no hurray to grow the company.One accepts tax on income but when taxed 40% on the additional income that the original income may make, the incentive to expand dissipates.So if this represents the mind frame of a small number entrepreneurs, a lot of jobs, capital and opportunity is not being created.",1,"This article touches a nerve . For 40 years I 've operated a tour company in Canada and , on account of taxation , was in no hurray to grow the company . One accepts tax on income but when taxed 40 % on the additional income that the original income may make , the incentive to expand dissipates . So if this represents the mind frame of a small number entrepreneurs , a lot of jobs , capital and opportunity is not being created ."
your cat,"A cat living in the wild needs its claws for climbing trees and for self defense. A pet cat kept indoors does not need its claws. If I have to keep a pet cat I would insist on declawing it. Otherwise I would forgo the pleasure of having a cat as a pet, no matter how cuddly.",0,"A cat living in the wild needs its claws for climbing trees and for self defense . A pet cat kept indoors does not need its claws . If I have to keep a pet cat I would insist on declawing it . Otherwise I would forgo the pleasure of having a cat as a pet , no matter how cuddly ."
the atlantic coast,"The assumption is that this is a political decision which seems very bizarre to me. An Atlantic spill would affect a heck off a lot more people than would a spill in the Arctic so how does this make sense politically? Last I checked wildlife doesn't vote. I have yet to see a good explanation for this decision, either from a political or an environmental position. If there is one I would like to hear it. Would a spill in the Atlantic 50 miles out disperse away from the coast more than would a spill in the Arctic or the Gulf? Because there surely will be one no matter how much the ""our drilling rigs, pipelines and trains are safe"" oil executives say.",1,"The assumption is that this is a political decision which seems very bizarre to me . An Atlantic spill would affect a heck off a lot more people than would a spill in the Arctic so how does this make sense politically ? Last I checked wildlife does n't vote . I have yet to see a good explanation for this decision , either from a political or an environmental position . If there is one I would like to hear it . Would a spill in the Atlantic 50 miles out disperse away from the coast more than would a spill in the Arctic or the Gulf ? Because there surely will be one no matter how much the "" our drilling rigs , pipelines and trains are safe "" oil executives say ."
the status of teachers,"I wonder how having one or two Teach for America teachers at a school can make a difference. A few children, lucky to be in those classes, may benefit but how does it benefit the school as a whole? And what does it do for the morale of the regular teaching staff, many of whom may be wonderful, dedicated teachers to have these neophytes who come with a label of special, gifted drop into their schools as though manna from heaven? Finally, do these special, gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least, if not more, to do with the condition of their schools and their academic achievement than does the ability of the teacher? Can they magically help the parent who doesn't have the education to help or encourage the child? Can they promise these kids that if they work hard and do well, they will have a better life?",0,"I wonder how having one or two Teach for America teachers at a school can make a difference . A few children , lucky to be in those classes , may benefit but how does it benefit the school as a whole ? And what does it do for the morale of the regular teaching staff , many of whom may be wonderful , dedicated teachers to have these neophytes who come with a label of special , gifted drop into their schools as though manna from heaven ? Finally , do these special , gifted new teachers have some kind of solution for the poverty and other conditions that surely have at least , if not more , to do with the condition of their schools and their academic achievement than does the ability of the teacher ? Can they magically help the parent who does n't have the education to help or encourage the child ? Can they promise these kids that if they work hard and do well , they will have a better life ?"
an election,Only problem with students is that they do not vote. Look s recently as states which have just had primary elections during spring break. The sands of Florida and the beer was much more important than to stay in their districts to vote. Don't count on them to bone of any help except the occasional rally as a relief agent to distract from classes.,1,Only problem with students is that they do not vote . Look s recently as states which have just had primary elections during spring break . The sands of Florida and the beer was much more important than to stay in their districts to vote . Do n't count on them to bone of any help except the occasional rally as a relief agent to distract from classes .
mandatory in college,OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so-called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own. The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth. It enables one to assimilate a culture in a way unequaled to any other.,1,OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so - called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own . The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth . It enables one to assimilate a culture in a way unequaled to any other .
beachfront homes,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.",0,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids ? Access should be guaranteed : if the landowner wo n't sell a piece of his property leading to the public area , it should be confiscated ; case closed ."
their land,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids? Access should be guaranteed: if the landowner won't sell a piece of his property leading to the public area, it should be confiscated; case closed.",1,"If some rich curmudgeon buys all the land around a public school can he then deny access to the kids ? Access should be guaranteed : if the landowner wo n't sell a piece of his property leading to the public area , it should be confiscated ; case closed ."
farms,"Or farming of this type would just move to mechanization to keep costs down. In the late 70s/early 80s, the United Farm Workers did a lot to prevent academic research into mechanization of California farming, and wanted the state to impose taxes on mechanized fruit and vegetable harvesters. I think their efforts even included a terrorist attack on the Ag-engineering department at UC-Davis (although maybe that's just something I just heard?). But it's 2011, and I doubt they are strong enough to stop mechanization these days.",0,"Or farming of this type would just move to mechanization to keep costs down . In the late 70s / early 80s , the United Farm Workers did a lot to prevent academic research into mechanization of California farming , and wanted the state to impose taxes on mechanized fruit and vegetable harvesters . I think their efforts even included a terrorist attack on the Ag - engineering department at UC - Davis ( although maybe that 's just something I just heard ? ) . But it 's 2011 , and I doubt they are strong enough to stop mechanization these days ."
kids at home,"How about obstetricians step up and admit that since men started controlling the birth process in hospital, women have suffered. Unneeded interventions and drugs, artificially induced labours, humiliating practices like shaving pubic hair, twilight sleep, episiotomies, Caesareans scheduled for the convenience of the doctor and his golf game, women with previous Caesareans not allowed to attempt a VBAC, babies and mothers separated at birth. If you're wondering why some women would want a home birth, take a look at yourselves and your practices.",1,"How about obstetricians step up and admit that since men started controlling the birth process in hospital , women have suffered . Unneeded interventions and drugs , artificially induced labours , humiliating practices like shaving pubic hair , twilight sleep , episiotomies , Caesareans scheduled for the convenience of the doctor and his golf game , women with previous Caesareans not allowed to attempt a VBAC , babies and mothers separated at birth . If you 're wondering why some women would want a home birth , take a look at yourselves and your practices ."
