topic,argument,label,tokenized_argument,new_id
christians,"The LGBT minority must repent for not valuing and respecting the non-LGBT majority. As far as we know all of the disciples were heterosexual married men. Jesus was not engaged in a gay pride parade during his 3 year ministry. And Jesus did not just come to suffer without knowing the joys of food, dancing, alcolhol and sex. And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed. Tolerance and equal treatment is the minimum expected for all human beings. The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American.",1,"The LGBT minority must repent for not valuing and respecting the non - LGBT majority . As far as we know all of the disciples were heterosexual married men . Jesus was not engaged in a gay pride parade during his 3 year ministry . And Jesus did not just come to suffer without knowing the joys of food , dancing , alcolhol and sex . And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed . Tolerance and equal treatment is the minimum expected for all human beings . The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American .",17504
tfa,"According to this perspective, we should view Peace Corps volunteers as a threat to the developing world, Meals on Wheels as a threat to the culinary arts, and AmeriCorps as a threat to the United States. Teach for America is a response to the deplorable condition in many rural and urban schools, which pre-date the existence of this program by decades. The reactionary response from educators who have failed to improve the educational achievement of underserved students only reinforces the need for something new and innovative. No one pretends that TFA is THE solution to public education, but at least it's focused in a tangible way on the places with the greatest needs.",1,"According to this perspective , we should view Peace Corps volunteers as a threat to the developing world , Meals on Wheels as a threat to the culinary arts , and AmeriCorps as a threat to the United States . Teach for America is a response to the deplorable condition in many rural and urban schools , which pre - date the existence of this program by decades . The reactionary response from educators who have failed to improve the educational achievement of underserved students only reinforces the need for something new and innovative . No one pretends that TFA is THE solution to public education , but at least it 's focused in a tangible way on the places with the greatest needs .",18401
the status of public teachers,"According to this perspective, we should view Peace Corps volunteers as a threat to the developing world, Meals on Wheels as a threat to the culinary arts, and AmeriCorps as a threat to the United States. Teach for America is a response to the deplorable condition in many rural and urban schools, which pre-date the existence of this program by decades. The reactionary response from educators who have failed to improve the educational achievement of underserved students only reinforces the need for something new and innovative. No one pretends that TFA is THE solution to public education, but at least it's focused in a tangible way on the places with the greatest needs.",1,"According to this perspective , we should view Peace Corps volunteers as a threat to the developing world , Meals on Wheels as a threat to the culinary arts , and AmeriCorps as a threat to the United States . Teach for America is a response to the deplorable condition in many rural and urban schools , which pre - date the existence of this program by decades . The reactionary response from educators who have failed to improve the educational achievement of underserved students only reinforces the need for something new and innovative . No one pretends that TFA is THE solution to public education , but at least it 's focused in a tangible way on the places with the greatest needs .",18408
prostituion,"We have a totally sexually repressive society which is why the question even comes up. It should be legal and under womens control as a sacrament or a temple of sexual expression. And women should have places to go too. Plus since it is expensive there should be clubs that allow sex play short of intercourse and a variety of options for members to mingle. There should be options to minister to the intimacy needy. There should be surrogates for teenagers and perhaps learner permits with sexual education. There should be confidential assistance for teenagers sexual issues, acceptable expression of parphilias and ways to explore without having actual sex. Much violence, abuse, substance abuse, breakup problems and stalking comes from limited options that produce fixations. We have to consider developing love and caring based systems rather than war based systems throughout our society.",0,"We have a totally sexually repressive society which is why the question even comes up . It should be legal and under womens control as a sacrament or a temple of sexual expression . And women should have places to go too . Plus since it is expensive there should be clubs that allow sex play short of intercourse and a variety of options for members to mingle . There should be options to minister to the intimacy needy . There should be surrogates for teenagers and perhaps learner permits with sexual education . There should be confidential assistance for teenagers sexual issues , acceptable expression of parphilias and ways to explore without having actual sex . Much violence , abuse , substance abuse , breakup problems and stalking comes from limited options that produce fixations . We have to consider developing love and caring based systems rather than war based systems throughout our society .",6544
nations,"Such a move would not be in the interest of the sons and daughters of Haganah, Irgun and the Stern Gang. Nor in the interest of Mossad, Shin Bet, Israel Defense Force, Likud and the Israel Lobby including AIPAC. But it would be in the interest of 6 million Christian Muslim Arab Palestinians living under occupation, blockade/siege, exile and 2nd class citizenship beneath and beholden to 6.1 million Zionist Israeli Jews.",1,"Such a move would not be in the interest of the sons and daughters of Haganah , Irgun and the Stern Gang . Nor in the interest of Mossad , Shin Bet , Israel Defense Force , Likud and the Israel Lobby including AIPAC . But it would be in the interest of 6 million Christian Muslim Arab Palestinians living under occupation , blockade / siege , exile and 2nd class citizenship beneath and beholden to 6.1 million Zionist Israeli Jews .",7208
a palestinian state,"Such a move would not be in the interest of the sons and daughters of Haganah, Irgun and the Stern Gang. Nor in the interest of Mossad, Shin Bet, Israel Defense Force, Likud and the Israel Lobby including AIPAC. But it would be in the interest of 6 million Christian Muslim Arab Palestinians living under occupation, blockade/siege, exile and 2nd class citizenship beneath and beholden to 6.1 million Zionist Israeli Jews.",1,"Such a move would not be in the interest of the sons and daughters of Haganah , Irgun and the Stern Gang . Nor in the interest of Mossad , Shin Bet , Israel Defense Force , Likud and the Israel Lobby including AIPAC . But it would be in the interest of 6 million Christian Muslim Arab Palestinians living under occupation , blockade / siege , exile and 2nd class citizenship beneath and beholden to 6.1 million Zionist Israeli Jews .",7688
vaccination,"We still haven't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations. We are seeing cases of measles, mumps, etc. increase, and this cannot be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated. I'm old, and when in 1st grade, I contacted German measles. NOT from someone in my class and, in fact, no one seemed to know where I contacted it. I then proceeded to infect almost all my entire class apparently. My point in telling this story is that we cannot know exactly where a child gets his contact, and therefore IMO opinion, vaccinations should be mandatory for every child entering schools from pre-K up. Until everyone - from the child who comes with their parents to America to the kiddo next door, we have to be consistent.",1,"We still have n't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations . We are seeing cases of measles , mumps , etc . increase , and this can not be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated . I 'm old , and when in 1st grade , I contacted German measles . NOT from someone in my class and , in fact , no one seemed to know where I contacted it . I then proceeded to infect almost all my entire class apparently . My point in telling this story is that we can not know exactly where a child gets his contact , and therefore IMO opinion , vaccinations should be mandatory for every child entering schools from pre - K up . Until everyone - from the child who comes with their parents to America to the kiddo next door , we have to be consistent .",9363
mandatory for all children,"We still haven't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations. We are seeing cases of measles, mumps, etc. increase, and this cannot be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated. I'm old, and when in 1st grade, I contacted German measles. NOT from someone in my class and, in fact, no one seemed to know where I contacted it. I then proceeded to infect almost all my entire class apparently. My point in telling this story is that we cannot know exactly where a child gets his contact, and therefore IMO opinion, vaccinations should be mandatory for every child entering schools from pre-K up. Until everyone - from the child who comes with their parents to America to the kiddo next door, we have to be consistent.",1,"We still have n't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations . We are seeing cases of measles , mumps , etc . increase , and this can not be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated . I 'm old , and when in 1st grade , I contacted German measles . NOT from someone in my class and , in fact , no one seemed to know where I contacted it . I then proceeded to infect almost all my entire class apparently . My point in telling this story is that we can not know exactly where a child gets his contact , and therefore IMO opinion , vaccinations should be mandatory for every child entering schools from pre - K up . Until everyone - from the child who comes with their parents to America to the kiddo next door , we have to be consistent .",13231
jerusalem,"The basic argument against moving the embassy to Israel's capital, where it obviously belongs, is that Arabs will react violently. This is a case of the tail wagging the dog. When we pander to threats of violence, in the long run we get more violence. The United States is the most powerful country in the world and used to be a moral force. It should do the right thing.",1,"The basic argument against moving the embassy to Israel 's capital , where it obviously belongs , is that Arabs will react violently . This is a case of the tail wagging the dog . When we pander to threats of violence , in the long run we get more violence . The United States is the most powerful country in the world and used to be a moral force . It should do the right thing .",4382
the u.s. embassy,"The basic argument against moving the embassy to Israel's capital, where it obviously belongs, is that Arabs will react violently. This is a case of the tail wagging the dog. When we pander to threats of violence, in the long run we get more violence. The United States is the most powerful country in the world and used to be a moral force. It should do the right thing.",1,"The basic argument against moving the embassy to Israel 's capital , where it obviously belongs , is that Arabs will react violently . This is a case of the tail wagging the dog . When we pander to threats of violence , in the long run we get more violence . The United States is the most powerful country in the world and used to be a moral force . It should do the right thing .",10621
charter schools,Is this a real question??? Of course they are...and taxpayers are paying them to do it. How many times does one have to say free public education for all is the necessary underpinning of a democratic society. That does not include funding private schools or charter schools.,0,Is this a real question ? ? ? Of course they are ... and taxpayers are paying them to do it . How many times does one have to say free public education for all is the necessary underpinning of a democratic society . That does not include funding private schools or charter schools .,5789
cherry-picking students,Is this a real question??? Of course they are...and taxpayers are paying them to do it. How many times does one have to say free public education for all is the necessary underpinning of a democratic society. That does not include funding private schools or charter schools.,0,Is this a real question ? ? ? Of course they are ... and taxpayers are paying them to do it . How many times does one have to say free public education for all is the necessary underpinning of a democratic society . That does not include funding private schools or charter schools .,5825
illegal labor,"The only way to attract Americans to work in the farms is to (1) pay the workers a decent wage; (2) make the job year-round, not just seasonal; (3) provide health insurance benefits; and (4) offer 401K opportunity. The prices of fruits and vegetable will go up. But as Professsor Philip Martin points out, the net cost to the consumers will be minimal. Society will benefit because more Americans will be taken off the unemployment roster and will be paying income tax.",0,"The only way to attract Americans to work in the farms is to ( 1 ) pay the workers a decent wage ; ( 2 ) make the job year - round , not just seasonal ; ( 3 ) provide health insurance benefits ; and ( 4 ) offer 401 K opportunity . The prices of fruits and vegetable will go up . But as Professsor Philip Martin points out , the net cost to the consumers will be minimal . Society will benefit because more Americans will be taken off the unemployment roster and will be paying income tax .",7667
farms,"The only way to attract Americans to work in the farms is to (1) pay the workers a decent wage; (2) make the job year-round, not just seasonal; (3) provide health insurance benefits; and (4) offer 401K opportunity. The prices of fruits and vegetable will go up. But as Professsor Philip Martin points out, the net cost to the consumers will be minimal. Society will benefit because more Americans will be taken off the unemployment roster and will be paying income tax.",1,"The only way to attract Americans to work in the farms is to ( 1 ) pay the workers a decent wage ; ( 2 ) make the job year - round , not just seasonal ; ( 3 ) provide health insurance benefits ; and ( 4 ) offer 401 K opportunity . The prices of fruits and vegetable will go up . But as Professsor Philip Martin points out , the net cost to the consumers will be minimal . Society will benefit because more Americans will be taken off the unemployment roster and will be paying income tax .",9624
office layout,"Do away with cubicles? Ridiculous! In fact, they should be made higher and more isolated - the workplace is not for socializing, it is for working in peace and quiet. Besides, where will the Guys place their photos of nekkid women?",0,"Do away with cubicles ? Ridiculous ! In fact , they should be made higher and more isolated - the workplace is not for socializing , it is for working in peace and quiet . Besides , where will the Guys place their photos of nekkid women ?",9361
kids,"I challenge a New Hampshire liberal who has a child with a well-developed sense of humor to object to all sorts of things in his or her school's curriculum. What every curriculum needs is more discussion of Thomas Jefferson's love life, for instance, or alternative theories of how Warren Harding met his maker (some say his wife had just had enough). Teaching children about atoms is misleading because atoms are made up of so many even smaller particles. Insist that kids be allowed to write and sing songs about leptons and quarks and draw pictures of neutrinos. Go nuts. Insist that children be taught that because Shakespeare and Cervantes died on the same day, they must have been the same person! Also, that when they read ""Uncle Tom's Cabin,"" they must refer to it as ""Uncle [the T word]'s Cabin,"" because some words are just too hurtful. This is just a starter list. I'm sure you can think of many more. Anyone who wants to free-lance education on my dime deserves to end up spluttering in red-faced rage. And that's all I have to say about that.",1,"I challenge a New Hampshire liberal who has a child with a well - developed sense of humor to object to all sorts of things in his or her school 's curriculum . What every curriculum needs is more discussion of Thomas Jefferson 's love life , for instance , or alternative theories of how Warren Harding met his maker ( some say his wife had just had enough ) . Teaching children about atoms is misleading because atoms are made up of so many even smaller particles . Insist that kids be allowed to write and sing songs about leptons and quarks and draw pictures of neutrinos . Go nuts . Insist that children be taught that because Shakespeare and Cervantes died on the same day , they must have been the same person ! Also , that when they read "" Uncle Tom 's Cabin , "" they must refer to it as "" Uncle [ the T word ] 's Cabin , "" because some words are just too hurtful . This is just a starter list . I 'm sure you can think of many more . Anyone who wants to free - lance education on my dime deserves to end up spluttering in red - faced rage . And that 's all I have to say about that .",18040
extreme parenting,"no extreme parenting does not work. Balance is the key. Whatever style a parent engages in with his/her child, a balanced point of view is preferred. I believe the most important variable is to teach children that they can make decisions. When they are young they learn to make choices, albeit small choices, and as they get older the choices become more significant and important. i think the type of parenting described in the book is extreme and not the best path for parents to follow",0,"no extreme parenting does not work . Balance is the key . Whatever style a parent engages in with his / her child , a balanced point of view is preferred . I believe the most important variable is to teach children that they can make decisions . When they are young they learn to make choices , albeit small choices , and as they get older the choices become more significant and important . i think the type of parenting described in the book is extreme and not the best path for parents to follow",1432
israel,The Israeli drumbeat of aggression against Iran is lunacy and the US would be insane to support them in that regard. All sides have said that sanctions are effective and Iran is no closer to going nuclear than Iraq was--that was the biggest fumble in US history. Netanayu had no intention of listening to any US suggestions that settlements were contrary to peace and it would be a waste of time to try to get him to back down.,0,The Israeli drumbeat of aggression against Iran is lunacy and the US would be insane to support them in that regard . All sides have said that sanctions are effective and Iran is no closer to going nuclear than Iraq was -- that was the biggest fumble in US history . Netanayu had no intention of listening to any US suggestions that settlements were contrary to peace and it would be a waste of time to try to get him to back down .,12087
parents,"There is a difference between doing the homework for them and helping them understand the principles. A parent should never do the work for them, but should help with understanding when required. establishing good study habits and monitoring results. Our children were completely different in dealing with homework. Our son was a last minute kid and our daughter started as soon as she got the assignment. Both did very well in school and have successful careers. They were just different and our goal was to assure they got their work done and understood it.",1,"There is a difference between doing the homework for them and helping them understand the principles . A parent should never do the work for them , but should help with understanding when required . establishing good study habits and monitoring results . Our children were completely different in dealing with homework . Our son was a last minute kid and our daughter started as soon as she got the assignment . Both did very well in school and have successful careers . They were just different and our goal was to assure they got their work done and understood it .",11242
their children,"There is a difference between doing the homework for them and helping them understand the principles. A parent should never do the work for them, but should help with understanding when required. establishing good study habits and monitoring results. Our children were completely different in dealing with homework. Our son was a last minute kid and our daughter started as soon as she got the assignment. Both did very well in school and have successful careers. They were just different and our goal was to assure they got their work done and understood it.",1,"There is a difference between doing the homework for them and helping them understand the principles . A parent should never do the work for them , but should help with understanding when required . establishing good study habits and monitoring results . Our children were completely different in dealing with homework . Our son was a last minute kid and our daughter started as soon as she got the assignment . Both did very well in school and have successful careers . They were just different and our goal was to assure they got their work done and understood it .",11307
hamas-fatah unity,"Arab League has forbidden Abbas to recognize the Jewish state. Arabs showed clearly that their goal is not a peace, but a destruction of Israel. About what can Israel speak with Arabo-fascists? About a destruction of Israel? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West.",0,"Arab League has forbidden Abbas to recognize the Jewish state . Arabs showed clearly that their goal is not a peace , but a destruction of Israel . About what can Israel speak with Arabo - fascists ? About a destruction of Israel ? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West .",10540
mideast peace,"Arab League has forbidden Abbas to recognize the Jewish state. Arabs showed clearly that their goal is not a peace, but a destruction of Israel. About what can Israel speak with Arabo-fascists? About a destruction of Israel? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West.",1,"Arab League has forbidden Abbas to recognize the Jewish state . Arabs showed clearly that their goal is not a peace , but a destruction of Israel . About what can Israel speak with Arabo - fascists ? About a destruction of Israel ? Pandering to the Arab aggressors and sacrificing the tiny Israel contradicts the moral values of the West .",17923
mother teresa,"She did not even give the dying asprin, while converting them to Catholicism without their knowledge. She was willing to enhance the image of dictators and torturers in exchange for contributions to her order. None of that money was spent on mitigating the suffering of those who came to her. I cannot fathom how anybody could consider her to be saintly. Surely even a cynical Church could find somebody more worthy of sainthood. This canonization tells me that the Church has learned nothing from its time mired in scandal, and is still willing to try smoke and mirrors.",0,"She did not even give the dying asprin , while converting them to Catholicism without their knowledge . She was willing to enhance the image of dictators and torturers in exchange for contributions to her order . None of that money was spent on mitigating the suffering of those who came to her . I can not fathom how anybody could consider her to be saintly . Surely even a cynical Church could find somebody more worthy of sainthood . This canonization tells me that the Church has learned nothing from its time mired in scandal , and is still willing to try smoke and mirrors .",10260
felons,"Roger Clegg claims victim blaming at its worst. The punishment for a crime has ended, but the lost of privilege that connects people in a democracy--voting--is denied by a self-righteous presumption that a person is worthless beyond the crime. His logic obliterates both law and justice. It fails to account for bias while reinforcing bias. It is the circular firing squad of the right wing, wrapped in the outrageous exaggeration of the broken logic of the right wing's appeals. It judges--without justice.",1,"Roger Clegg claims victim blaming at its worst . The punishment for a crime has ended , but the lost of privilege that connects people in a democracy -- voting -- is denied by a self - righteous presumption that a person is worthless beyond the crime . His logic obliterates both law and justice . It fails to account for bias while reinforcing bias . It is the circular firing squad of the right wing , wrapped in the outrageous exaggeration of the broken logic of the right wing 's appeals . It judges -- without justice .",5658
mother teresa,"Certainly, why not? Saints and angels and fairies and Santa Claus and Easter bunnies and Superman and Batman are all myths, so what difference does it make if the church of Rome wants to call this person a saint? And, on the plus side, it would add to the collection of gods to which devout Catholics devote their feel-good prayers.",0,"Certainly , why not ? Saints and angels and fairies and Santa Claus and Easter bunnies and Superman and Batman are all myths , so what difference does it make if the church of Rome wants to call this person a saint ? And , on the plus side , it would add to the collection of gods to which devout Catholics devote their feel - good prayers .",3608
medicare,"The entire Republican agenda regarding healthcare is to siphon off tax dollars to give to insurance companies and not to provide any health care. Same with Social Security, privatize it giving billions to Wall Street to manage to garner fees and lose recipients hard earned money. What a bunch of crooks. Leading the way is the American Enterprise Institute. Super crooks.",1,"The entire Republican agenda regarding healthcare is to siphon off tax dollars to give to insurance companies and not to provide any health care . Same with Social Security , privatize it giving billions to Wall Street to manage to garner fees and lose recipients hard earned money . What a bunch of crooks . Leading the way is the American Enterprise Institute . Super crooks .",7152
big banks,"The Fed provides discounted money to banks to encourage lending, which will encourage investment, which will encourage jobs, which will encourage spending and more jobs. This process is broken because excess world capacity in labor and off shore productivity is sopping up all of the spending and the banks are putting their investment in risk fee bonds. Why not a nationalized bank that pays a premium, over any commercial bank, to long term (retirement) depositors, who are U.S. citizens (not corporations), that is solely dedicated to funding U.S. infrastructure projects (roads, bridges, dams, housing)? This plan encourages saving by U.S. citizens (the kind that breath), retains jobs and spending on U.S. soil, and the increased productive enhancement realized by such projects remain in the U.S..",0,"The Fed provides discounted money to banks to encourage lending , which will encourage investment , which will encourage jobs , which will encourage spending and more jobs . This process is broken because excess world capacity in labor and off shore productivity is sopping up all of the spending and the banks are putting their investment in risk fee bonds . Why not a nationalized bank that pays a premium , over any commercial bank , to long term ( retirement ) depositors , who are U.S. citizens ( not corporations ) , that is solely dedicated to funding U.S. infrastructure projects ( roads , bridges , dams , housing ) ? This plan encourages saving by U.S. citizens ( the kind that breath ) , retains jobs and spending on U.S. soil , and the increased productive enhancement realized by such projects remain in the U.S ..",10537
control,"The Fed provides discounted money to banks to encourage lending, which will encourage investment, which will encourage jobs, which will encourage spending and more jobs. This process is broken because excess world capacity in labor and off shore productivity is sopping up all of the spending and the banks are putting their investment in risk fee bonds. Why not a nationalized bank that pays a premium, over any commercial bank, to long term (retirement) depositors, who are U.S. citizens (not corporations), that is solely dedicated to funding U.S. infrastructure projects (roads, bridges, dams, housing)? This plan encourages saving by U.S. citizens (the kind that breath), retains jobs and spending on U.S. soil, and the increased productive enhancement realized by such projects remain in the U.S..",1,"The Fed provides discounted money to banks to encourage lending , which will encourage investment , which will encourage jobs , which will encourage spending and more jobs . This process is broken because excess world capacity in labor and off shore productivity is sopping up all of the spending and the banks are putting their investment in risk fee bonds . Why not a nationalized bank that pays a premium , over any commercial bank , to long term ( retirement ) depositors , who are U.S. citizens ( not corporations ) , that is solely dedicated to funding U.S. infrastructure projects ( roads , bridges , dams , housing ) ? This plan encourages saving by U.S. citizens ( the kind that breath ) , retains jobs and spending on U.S. soil , and the increased productive enhancement realized by such projects remain in the U.S ..",18214
charter schools,"What is most galling about the advocates and activists who insist on the right of the most disruptive kids to endanger their peers and compromise their education is the fact that they would never tolerate such behavior at the economically stratified schools where they send their own children. When was the last time a first-grader at a high-end Manhattan, Westchester, or Nassau private or public school picked up a chair over their head and threw it at a classmate, or told the teacher, using several of George Carlin's seven words, to perform an anatomically impossible act?",0,"What is most galling about the advocates and activists who insist on the right of the most disruptive kids to endanger their peers and compromise their education is the fact that they would never tolerate such behavior at the economically stratified schools where they send their own children . When was the last time a first - grader at a high - end Manhattan , Westchester , or Nassau private or public school picked up a chair over their head and threw it at a classmate , or told the teacher , using several of George Carlin 's seven words , to perform an anatomically impossible act ?",5397
